num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Crenated_balanced_accuracy,Crenated_accuracy,Crenated_f1,Crenated_recall,Crenated_precision,Dead_balanced_accuracy,Dead_accuracy,Dead_f1,Dead_recall,Dead_precision,Stressed_balanced_accuracy,Stressed_accuracy,Stressed_f1,Stressed_recall,Stressed_precision,Healthy_balanced_accuracy,Healthy_accuracy,Healthy_f1,Healthy_recall,Healthy_precision
40,0.7131213813068652,0.6470588235294118,0.65036774523232,0.7131213813068652,0.6384802030088158,0.8666666666666667,0.875,0.5957446808510638,0.875,0.45161290322580644,0.9457757296466974,0.967741935483871,0.8695652173913043,0.967741935483871,0.7894736842105263,0.6402325581395348,0.42,0.5060240963855421,0.42,0.6363636363636364,0.7381707639439599,0.5897435897435898,0.6301369863013699,0.5897435897435898,0.6764705882352942
81,0.8194034325889165,0.7867647058823529,0.7901133040935673,0.8194034325889165,0.7753880266075388,0.9041666666666667,0.875,0.7368421052631579,0.875,0.6363636363636364,0.9695852534562213,0.967741935483871,0.9374999999999999,0.967741935483871,0.9090909090909091,0.7734883720930232,0.64,0.7111111111111111,0.64,0.8,0.8458895056833201,0.7948717948717948,0.7749999999999999,0.7948717948717948,0.7560975609756098
162,0.8159579197684037,0.8014705882352942,0.808431895485467,0.8159579197684037,0.8019470048785065,0.8895833333333334,0.8125,0.787878787878788,0.8125,0.7647058823529411,0.9695852534562213,0.967741935483871,0.9374999999999999,0.967741935483871,0.9090909090909091,0.806046511627907,0.74,0.7551020408163266,0.74,0.7708333333333334,0.8254031192175522,0.7435897435897436,0.7532467532467534,0.7435897435897436,0.7631578947368421
243,0.8772239454094293,0.8676470588235294,0.8703931608946074,0.8772239454094293,0.8651665794522938,0.9208333333333334,0.875,0.823529411764706,0.875,0.7777777777777778,0.9838709677419355,0.967741935483871,0.9836065573770492,0.967741935483871,1.0,0.8634883720930232,0.82,0.8282828282828283,0.82,0.8367346938775511,0.8921490880253766,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
324,0.8984739454094293,0.8676470588235294,0.873296724360554,0.8984739454094293,0.8579805611055611,0.9791666666666667,1.0,0.8648648648648648,1.0,0.7619047619047619,0.974347158218126,0.967741935483871,0.9523809523809523,0.967741935483871,0.9375,0.8609302325581396,0.78,0.8297872340425532,0.78,0.8863636363636364,0.8921490880253766,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
406,0.905128205128205,0.875,0.8868844696969695,0.905128205128205,0.8732924207752583,0.9875,1.0,0.9142857142857143,1.0,0.8421052631578947,0.9904761904761905,1.0,0.96875,1.0,0.9393939393939394,0.8651162790697675,0.8,0.8333333333333333,0.8,0.8695652173913043,0.8793285752048638,0.8205128205128205,0.8311688311688312,0.8205128205128205,0.8421052631578947
