num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Dead_balanced_accuracy,Dead_accuracy,Dead_f1,Dead_recall,Dead_precision,Stressed_balanced_accuracy,Stressed_accuracy,Stressed_f1,Stressed_recall,Stressed_precision,Healthy_balanced_accuracy,Healthy_accuracy,Healthy_f1,Healthy_recall,Healthy_precision,Crenated_balanced_accuracy,Crenated_accuracy,Crenated_f1,Crenated_recall,Crenated_precision
36,0.647550567711858,0.65,0.6419555613305614,0.647550567711858,0.6474732076866223,0.8387888707037643,0.7307692307692307,0.76,0.7307692307692307,0.7916666666666666,0.6444444444444444,0.4,0.4615384615384615,0.4,0.5454545454545454,0.7060529177238131,0.5806451612903226,0.5625,0.5806451612903226,0.5454545454545454,0.87042842215256,0.8787878787878788,0.7837837837837839,0.8787878787878788,0.7073170731707317
72,0.8485337243401759,0.8416666666666667,0.8483211233211234,0.8485337243401759,0.8540305010893247,1.0,1.0,1.0,1.0,1.0,0.8055555555555556,0.7333333333333333,0.6984126984126984,0.7333333333333333,0.6666666666666666,0.9179050380572671,0.9032258064516129,0.8615384615384616,0.9032258064516129,0.8235294117647058,0.8672936259143156,0.7575757575757576,0.8333333333333334,0.7575757575757576,0.9259259259259259
144,0.8318670576735092,0.825,0.8309319448399299,0.8318670576735092,0.8326899169011319,1.0,1.0,1.0,1.0,1.0,0.7722222222222221,0.6666666666666666,0.6557377049180327,0.6666666666666666,0.6451612903225806,0.9179050380572671,0.9032258064516129,0.8615384615384616,0.9032258064516129,0.8235294117647058,0.8557993730407523,0.7575757575757576,0.8064516129032258,0.7575757575757576,0.8620689655172413
216,0.6893939393939394,0.6833333333333333,0.6147118472198749,0.6893939393939394,0.5906385281385281,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.803370786516854,1.0,0.6391752577319588,1.0,0.4696969696969697,0.8615464994775339,0.7575757575757576,0.819672131147541,0.7575757575757576,0.8928571428571429
288,0.8407380254154447,0.8333333333333334,0.8387078106332139,0.8407380254154447,0.8409156766154737,0.9893617021276595,1.0,0.962962962962963,1.0,0.9285714285714286,0.8222222222222222,0.7666666666666667,0.71875,0.7666666666666667,0.6764705882352942,0.9025009061254078,0.8387096774193549,0.8666666666666666,0.8387096774193549,0.896551724137931,0.8557993730407523,0.7575757575757576,0.8064516129032258,0.7575757575757576,0.8620689655172413
360,0.8785679374389053,0.875,0.8771909367635506,0.8785679374389053,0.8797043010752688,1.0,1.0,1.0,1.0,1.0,0.8166666666666667,0.7,0.7368421052631577,0.7,0.7777777777777778,0.9284160927872418,0.9354838709677419,0.8656716417910448,0.9354838709677419,0.8055555555555556,0.9278996865203761,0.8787878787878788,0.90625,0.8787878787878788,0.9354838709677419
