num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Crenated_balanced_accuracy,Crenated_accuracy,Crenated_f1,Crenated_recall,Crenated_precision,Dead_balanced_accuracy,Dead_accuracy,Dead_f1,Dead_recall,Dead_precision,Stressed_balanced_accuracy,Stressed_accuracy,Stressed_f1,Stressed_recall,Stressed_precision,Healthy_balanced_accuracy,Healthy_accuracy,Healthy_f1,Healthy_recall,Healthy_precision
40,0.7504166666666666,0.6911764705882353,0.6928036615205225,0.7504166666666666,0.6796875,0.8791666666666667,0.875,0.6363636363636364,0.875,0.5,0.9666666666666667,1.0,0.898550724637681,1.0,0.8157894736842105,0.6776744186046512,0.46,0.5609756097560976,0.46,0.71875,0.7714776632302405,0.6666666666666666,0.6753246753246753,0.6666666666666666,0.6842105263157895
81,0.7704166666666666,0.7205882352941176,0.7265338781069118,0.7704166666666666,0.7096764346764346,0.8875,0.875,0.6666666666666667,0.875,0.5384615384615384,0.980952380952381,1.0,0.9393939393939393,1.0,0.8857142857142857,0.7002325581395349,0.54,0.6067415730337079,0.54,0.6923076923076923,0.781786941580756,0.6666666666666666,0.6933333333333334,0.6666666666666666,0.7222222222222222
162,0.8365829197684036,0.8161764705882353,0.827078419861925,0.8365829197684036,0.8193877214939728,0.925,0.875,0.8484848484848485,0.875,0.8235294117647058,0.9648233486943165,0.967741935483871,0.923076923076923,0.967741935483871,0.8823529411764706,0.8276744186046512,0.76,0.7835051546391754,0.76,0.8085106382978723,0.8254031192175522,0.7435897435897436,0.7532467532467534,0.7435897435897436,0.7631578947368421
243,0.8628329197684037,0.8235294117647058,0.8314373905303357,0.8628329197684037,0.8140225787284611,0.975,1.0,0.8421052631578948,1.0,0.7272727272727273,0.9648233486943165,0.967741935483871,0.923076923076923,0.967741935483871,0.8823529411764706,0.8293023255813954,0.74,0.7872340425531915,0.74,0.8409090909090909,0.8357123975680677,0.7435897435897436,0.7733333333333334,0.7435897435897436,0.8055555555555556
324,0.8514226633581472,0.8088235294117647,0.8226853350033642,0.8514226633581472,0.8047990695049518,0.9791666666666667,1.0,0.8648648648648648,1.0,0.7619047619047619,0.9648233486943165,0.967741935483871,0.923076923076923,0.967741935483871,0.8823529411764706,0.8134883720930233,0.72,0.7659574468085107,0.72,0.8181818181818182,0.8125826063970394,0.717948717948718,0.736842105263158,0.717948717948718,0.7567567567567568
406,0.8351886889991729,0.8235294117647058,0.8184202322500195,0.8351886889991729,0.8069963447285429,0.88125,0.8125,0.742857142857143,0.8125,0.6842105263157895,0.9648233486943165,0.967741935483871,0.923076923076923,0.967741935483871,0.8823529411764706,0.8293023255813954,0.74,0.7872340425531915,0.74,0.8409090909090909,0.8741739360296061,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.8205128205128205
