num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Dead_balanced_accuracy,Dead_accuracy,Dead_f1,Dead_recall,Dead_precision,Stressed_balanced_accuracy,Stressed_accuracy,Stressed_f1,Stressed_recall,Stressed_precision,Healthy_balanced_accuracy,Healthy_accuracy,Healthy_f1,Healthy_recall,Healthy_precision,Crenated_balanced_accuracy,Crenated_accuracy,Crenated_f1,Crenated_recall,Crenated_precision
36,0.7796074892849086,0.775,0.7730106644790812,0.7796074892849086,0.7732014303305863,0.9701309328968903,0.9615384615384616,0.9433962264150944,0.9615384615384616,0.9259259259259259,0.7055555555555555,0.5,0.5660377358490566,0.5,0.6521739130434783,0.8744110184849583,0.8387096774193549,0.7999999999999999,0.8387096774193549,0.7647058823529411,0.8573667711598747,0.8181818181818182,0.7826086956521738,0.8181818181818182,0.75
72,0.8530791788856306,0.85,0.8495024875621889,0.8530791788856306,0.8525326797385621,1.0,1.0,1.0,1.0,1.0,0.7666666666666666,0.6,0.6666666666666665,0.6,0.75,0.9066690830010873,0.9032258064516129,0.835820895522388,0.9032258064516129,0.7777777777777778,0.9315569487983281,0.9090909090909091,0.8955223880597014,0.9090909090909091,0.8823529411764706
144,0.848802541544477,0.8416666666666667,0.8498474555587194,0.848802541544477,0.8548029556650246,1.0,1.0,1.0,1.0,1.0,0.8166666666666667,0.7666666666666667,0.7076923076923077,0.7666666666666667,0.6571428571428571,0.9186299383834723,0.8709677419354839,0.8852459016393444,0.8709677419354839,0.9,0.8557993730407523,0.7575757575757576,0.8064516129032258,0.7575757575757576,0.8620689655172413
216,0.8710053387472743,0.8666666666666667,0.8728896024911205,0.8710053387472743,0.8790719847449547,0.9807692307692308,0.9615384615384616,0.9803921568627451,0.9615384615384616,1.0,0.8611111111111112,0.8333333333333334,0.7692307692307692,0.8333333333333334,0.7142857142857143,0.9130119608553824,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8975966562173459,0.8181818181818182,0.8709677419354839,0.8181818181818182,0.9310344827586207
288,0.8644916911045945,0.8583333333333333,0.8661735064426365,0.8644916911045945,0.8748918253228597,1.0,1.0,1.0,1.0,1.0,0.8500000000000001,0.8333333333333334,0.746268656716418,0.8333333333333334,0.6756756756756757,0.8863718738673432,0.8064516129032258,0.8474576271186439,0.8064516129032258,0.8928571428571429,0.8975966562173459,0.8181818181818182,0.8709677419354839,0.8181818181818182,0.9310344827586207
360,0.9045943304007821,0.9,0.9033626441606646,0.9045943304007821,0.9043771043771045,0.9946808510638299,1.0,0.9811320754716981,1.0,0.9629629629629629,0.8944444444444445,0.8666666666666667,0.8253968253968254,0.8666666666666667,0.7878787878787878,0.9403769481696267,0.9032258064516129,0.9180327868852459,0.9032258064516129,0.9333333333333333,0.912748171368861,0.8484848484848485,0.888888888888889,0.8484848484848485,0.9333333333333333
