,precision,recall,f1-score,support
Crenated,0.9333333333333333,0.8484848484848485,0.888888888888889,33.0
Dead,0.9629629629629629,1.0,0.9811320754716981,26.0
Healthy,0.9333333333333333,0.9032258064516129,0.9180327868852459,31.0
Stressed,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.9043771043771045,0.9045943304007821,0.9033626441606646,120.0
weighted avg,0.9033894500561168,0.9,0.9005307370912072,120.0
