image,cell_id,shape_Elongation,shape_MajorAxisLength,shape_MaximumDiameter,shape_MinorAxisLength,shape_Perimeter,shape_PerimeterSurfaceRatio,shape_PixelSurface,shape_Sphericity,shape_bbox_area,shape_convex_area,shape_extent,shape_eccentricity,shape_diameter,shape_solidity,bf_intensity_10Percentile,bf_intensity_90Percentile,bf_intensity_Energy,bf_intensity_Entropy,bf_intensity_InterquartileRange,bf_intensity_Kurtosis,bf_intensity_Maximum,bf_intensity_MeanAbsoluteDeviation,bf_intensity_Mean,bf_intensity_Median,bf_intensity_Minimum,bf_intensity_Range,bf_intensity_RobustMeanAbsoluteDeviation,bf_intensity_RootMeanSquared,bf_intensity_RootMeanSquared.1,bf_intensity_TotalEnergy,bf_intensity_Uniformity,bf_intensity_Variance,bf_glcm_Contrast,bf_glcm_Correlation,bf_glcm_Autocorrelation,bf_glcm_DifferenceAverage,bf_glcm_DifferenceEntropy,bf_glcm_DifferenceVariance,bf_glcm_Id,bf_glcm_Idm,bf_glcm_Imc1,bf_glcm_Imc12,bf_glcm_InverseVariance,bf_glcm_JointAverage,bf_glcm_JointEnergy,bf_glcm_JointEntropy,bf_glcm_MCC,bf_gldm_DependenceEntropy,bf_gldm_DependenceNonUniformity,bf_gldm_DependenceVariance,bf_gldm_GrayLevelNonUniformity,bf_gldm_GrayLevelVariance,bf_gldm_LowGrayLevelEmphasis,bf_gldm_HighGrayLevelEmphasis,bf_glrlm_LongRunEmphasis,bf_glrlm_LongRunHighGrayLevelEmphasis,bf_glrlm_LongRunLowGrayLevelEmphasis,bf_glrlm_LowGrayLevelRunEmphasis,bf_glrlm_RunEntropy,bf_glrlm_RunLengthNonUniformity,bf_glrlm_RunPercentage,bf_glrlm_RunVariance,bf_glrlm_ShortRunEmphasis,bf_glrlm_ShortRunHighGrayLevelEmphasis,bf_glrlm_ShortRunLowGrayLevelEmphasis,bf_glszm_HighGrayLevelZoneEmphasis,bf_glszm_LargeAreaEmphasis,bf_glszm_LargeAreaHighGrayLevelEmphasis,bf_glszm_LargeAreaLowGrayLevelEmphasis,bf_glszm_LowGrayLevelZoneEmphasis,bf_glszm_SizeZoneNonUniformity,bf_glszm_SmallAreaEmphasis,bf_glszm_SmallAreaHighGrayLevelEmphasis,bf_glszm_SmallAreaLowGrayLevelEmphasis,crenation_circularity,crenation_solidity,crenation_perimeter_area_ratio,crenation_roughness_index,crenation_radial_variation,crenation_max_radial_deviation,crenation_num_spikes,crenation_num_indentations,crenation_spike_density,crenation_indentation_density,custom_texture_std,custom_texture_range,custom_texture_iqr,custom_texture_laplacian_var,custom_texture_edge_density,custom_texture_entropy_mean,custom_texture_entropy_std,custom_texture_local_contrast,texture_local_std_mean,texture_local_std_std,texture_sobel_mean,texture_sobel_std,texture_dog_abs_mean,texture_dog_std,texture_lbp_entropy,texture_lbp_uniformity,bg_median_intensity,bg_mean_intensity,cell_bg_abs_contrast,cell_bg_ratio,cell_bg_percent_difference,local_bg_mean,local_bg_median,local_bg_std,cell_to_local_bg_ratio,cell_local_bg_abs_diff,cell_local_bg_weber,cell_local_bg_michelson,cell_local_bg_z,cell_std,cell_iqr,cell_dynamic_range,local_bg_dynamic_range,local_bg_iqr,cell_std_to_bg_std,cell_iqr_to_bg_iqr,cell_dynamic_range_to_bg,cell_internal_contrast_score,radial_center_mean,radial_mid_mean,radial_edge_mean,radial_center_edge_ratio,radial_center_edge_diff,radial_edge_center_diff,radial_profile_range,image_bg_mean,image_bg_median,image_bg_std,cell_bg_z_mean,cell_bg_z_median,cell_bg_z_std,cell_bg_z_p10,label
Data_MC/images/PE_RBCs_NPs_1-10_1_15hrs_1.tif,31,0.138375128319188,35.1910813946258,41.0,4.86957040367232,73.7989898732234,0.928289180795263,82.0,0.428290142582301,287.0,219.0,0.285714285714286,0.990379888660229,10.2179079399006,0.374429223744292,105.0,110.9,954686.0,-3.20342650381492e-16,4.0,2.3171994794108,113.0,1.79238548483046,107.878048780488,108.0,104.0,9.0,1.34952105145912,107.900473563011,0.127533617064237,954686.0,1.0,4.83878643664485,0.0,1.0,1.0,0.0,-3.20342650381492e-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.20342650381492e-16,1.0,1.20323401133047,41.5365853658537,0.312314098750744,82.0,0.0,1.0,1.0,6.47058823529412,6.47058823529412,6.47058823529412,1.0,1.34040621368904,15.4705882352941,0.414634146341463,0.653979238754325,0.318627450980392,0.318627450980392,0.318627450980392,1.0,6.47058823529412,6.47058823529412,6.47058823529412,1.0,15.4705882352941,0.318627450980392,0.318627450980392,0.318627450980392,0.328168345810694,0.374429223744292,0.683360169584546,6.18808952365096,0.477280675695757,1.53967151375602,3.0,2.0,0.0535374572326931,0.0356916381551287,2.19972417285551,9.0,4.0,10.3416121356336,0.158536585365854,2.55172154258404,0.409253117472976,5.90000000000001,1.89374821494992,0.483678656416489,1.61428977314991,0.750009100114672,0.753246171178862,0.897138691700189,2.16490542086797,0.122843545508626,114.0,114.431306738008,6.0,0.947368412742382,0.0526315784856879,109.508771929825,110.0,1.586376285726,0.981818172892562,2.0,0.0181818180165289,0.0091743118845215,1.26073413808665,2.19972417285551,4.0,7.95,5.0,3.0,1.38663367954667,1.33333288888904,1.58999968200006,1.43665541681193,,,,,,,,114.431306738008,114.0,4.43982521664454,-1.37887181182036,-1.35140424584785,0.495452764481846,-2.02710636877177,
Data_MC/images/PE_RBCs_NPs_1-10_1_15hrs_1.tif,42,0.695587788434308,35.1118321339778,35.7351367704113,24.4233616619503,138.509667991878,0.212601178805646,653.0,0.653253964038763,850.0,709.0,0.768235294117647,0.718441110029952,28.8344485418407,0.921015514809591,109.0,120.0,8510383.0,0.0855277671717307,6.0,2.89052339493234,127.0,3.330558219925,114.084226646248,114.0,104.0,23.0,2.48781112161311,114.161051977755,0.254135189194819,8510383.0,0.978790316339477,17.5350191951858,0.0097402597402597,0.566502463054176,1.02922077922078,0.0097402597402597,0.0790662666705849,0.009645387080452,0.99512987012987,0.99512987012987,-0.38089592990634,0.257007281576569,0.0097402597402597,1.01136363636364,0.967885604655085,0.14523912350507,0.566502463053702,0.652153089646195,519.493108728943,0.151108442833055,639.150076569678,0.0106048418302615,0.991960183767228,1.03215926493109,376.953488372093,378.418604651163,376.587209302326,0.947674418604651,3.8839761428067296,4.95348837209302,0.0658499234303215,146.337479718767,0.292120873717454,0.383690641159315,0.269228431856989,1.2093023255814,376.953488372093,378.418604651163,376.587209302326,0.947674418604651,4.95348837209302,0.292120873717454,0.383690641159315,0.269228431856989,0.672866969512872,0.921015514809591,0.16911562561348,4.32155781192329,0.151363929434407,0.610565380812816,4.0,3.0,0.0362212199515393,0.0271659149636545,4.7096883693368,23.0,7.0,14.4766971982759,0.226293103448276,3.08173875591855,0.470723329133243,12.0,3.32426830866426,1.21333410409757,2.65325233204167,1.50622412483653,1.9601946875901,2.40158545898159,2.12513053087567,0.137958903091558,114.0,114.431306738008,0.0,0.99999999122807,0.0,113.27610619469,113.0,1.30548701361024,1.00884954859425,-1.0,-0.0088495574438092,-0.0044052863242057,-0.765997075097277,4.7096883693368,7.0,15.0,4.0,2.0,3.60760751553166,3.49999825000088,3.74999906250023,3.61920160934426,117.5,113.906779661017,113.193146417445,1.03804870419118,4.30685358255452,-4.30685358255452,4.30685358255452,114.431306738008,114.0,4.43982521664454,0.127179566239991,0.0,1.060782143157,-1.1261702048732,
Data_MC/images/PE_RBCs_NPs_1-10_1_15hrs_1.tif,43,0.715404375273413,106.108420646207,97.4166310236604,75.9104283836484,311.906637611549,1.18146453640738,275.0,0.184664016969521,6208.0,4109.0,0.0442976804123711,0.698710655307086,18.7120515925478,0.0669262594305183,108.0,117.6,3563033.0,0.171057308422617,4.0,4.90454781741101,130.0,3.04468099173554,113.749090909091,114.0,102.0,28.0,2.00869135802469,113.826550665316,0.487405682130227,3563033.0,0.950386776859504,17.6279537190083,0.0167597765363128,0.658070678127979,1.06703910614525,0.0167597765363128,0.122838948312704,0.0164788864267657,0.991620111731844,0.991620111731844,-0.453200912836862,0.377274755650424,0.0167597765363128,1.02513966480447,0.934505789457258,0.262025506954309,0.658070678127871,1.63471836311155,102.825454545455,0.557963636363636,261.356363636364,0.0248066115702479,0.980909090909091,1.07636363636364,26.2121212121212,26.6060606060606,26.1136363636364,0.96969696969697,2.3456060804454,31.9090909090909,0.36,18.4960718294052,0.573609178476692,0.626639481506995,0.560351602719116,1.12121212121212,26.2121212121212,26.6060606060606,26.1136363636364,0.96969696969697,31.9090909090909,0.573609178476692,0.626639481506995,0.560351602719116,0.0858186698944442,0.0669262594305183,0.729705627484771,12.1007988688892,0.130786433475326,0.506813050441652,2.0,1.0,0.0099666591551386,0.0049833295775693,4.19856567401396,28.0,4.0,15.5590876033058,0.232727272727273,2.85238236347134,0.563528693788746,9.59999999999999,2.92596955280357,1.53014319556664,2.36437792974571,1.72058095523379,1.6812095786684,1.9555866791812,2.18458176970874,0.122856198347107,114.0,114.431306738008,0.0,0.99999999122807,0.0,112.199513381995,112.0,2.8992153912494,1.01785713376913,-2.0,-0.017857142697704,-0.0088495574829665,-0.689841574446298,4.19856567401396,4.0,13.3,9.0,4.0,1.44817257748898,0.999999750000062,1.47777761358027,1.30864998035644,,,,,,,,114.431306738008,114.0,4.43982521664454,-0.0565132684627281,0.0,0.94565991305558,-1.35140424584785,
Data_MC/images/PE_RBCs_NPs_1-10_1_15hrs_1.tif,113,0.140687744686203,36.2644006725923,35.7351367704113,5.10195674302384,93.1543289325508,0.733498653012211,128.0,0.428848357330108,442.0,191.0,0.289592760180996,0.990054017968267,12.7661529728458,0.670157068062827,109.0,119.0,1663160.0,-3.20342650381492e-16,4.0,2.52060460887846,123.0,2.7373046875,113.9375,114.0,107.0,16.0,2.18748478207938,113.988760410841,0.248138659515468,1663160.0,1.0,11.68359375,0.0,1.0,1.0,0.0,-3.20342650381492e-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.20342650381492e-16,1.0,1.0435137432081,69.015625,0.277099609375,128.0,0.0,1.0,1.0,51.39130434782609,51.39130434782609,51.39130434782609,1.0,3.05510815123886,3.26086956521739,0.1796875,20.4196597353497,0.219556905693034,0.219556905693034,0.219556905693034,1.0,51.39130434782609,51.39130434782609,51.39130434782609,1.0,3.26086956521739,0.219556905693034,0.219556905693034,0.219556905693034,0.244051479157466,0.670157068062827,0.634248173313075,7.17569894887769,0.465305598781548,1.66067289882708,3.0,2.0,0.0369532006337066,0.0246354670891377,3.41812722846883,16.0,4.0,15.208740234375,0.15625,2.88930595197497,0.416611701414577,10.0,2.84535918101867,0.886749053567485,2.21595106435588,1.12357128962966,1.20303371524391,1.54811289570384,2.19609822753865,0.12255859375,114.0,114.431306738008,0.0,0.99999999122807,0.0,,,,,,,,,3.41812722846883,4.0,11.65,,,,,,,,,,,,,,114.431306738008,114.0,4.43982521664454,-0.014077127560915,0.0,0.769878608233484,-1.1261702048732,
Data_MC/images/PE_RBCs_NPs_1-10_1_15hrs_1.tif,123,0.244773996766566,11.2759690806679,10.770329614269,2.7600640192913,26.3847763108502,1.55204566534413,18.0,0.553956899821125,50.0,26.0,0.36,0.969580161980907,4.78730736481719,0.692307692307692,92.7,113.0,195137.0,0.852405178649478,13.5,1.72163398373188,115.0,6.75925925925926,103.833333333333,105.5,91.0,24.0,5.52,104.119856148789,-0.305202616272584,195137.0,0.598765432098765,59.58333333333329,0.125,0.589743589743589,3.375,0.125,0.543564443199596,0.109375,0.9375,0.9375,-0.296097049129964,0.581265531864684,0.125,1.8125,0.5859375,1.18627812445913,0.589743589743588,2.08604861231304,7.77777777777778,0.395061728395062,10.7777777777778,0.200617283950617,0.458333333333333,3.16666666666667,3.27272727272727,11.1818181818182,1.29545454545455,0.522727272727273,2.23127025460757,4.45454545454545,0.611111111111111,0.59504132231405,0.633838383838384,1.6489898989899,0.380050505050505,2.90909090909091,3.27272727272727,11.1818181818182,1.29545454545455,0.522727272727273,4.45454545454545,0.633838383838384,1.6489898989899,0.380050505050505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data_MC/images/PE_RBCs_NPs_1-10_1_15hrs_2.tif,60,0.174893119756709,18.1152154771599,17.7200451466694,3.16822654986551,40.6274169979695,1.0031460987153,41.0,0.555281534949822,102.0,54.0,0.401960784313726,0.984587424590506,7.22515199384357,0.759259259259259,115.0,131.0,620369.0,0.978869850506778,9.0,2.02425838582262,134.0,5.25758477096966,122.853658536585,122.0,112.0,22.0,4.0495867768595,123.007931530907,0.0687925903804638,620369.0,0.514574657941701,37.9298036882808,0.0833333333333333,0.822222222222221,2.08333333333333,0.0833333333333333,0.413816850303633,0.0763888888888888,0.958333333333333,0.958333333333333,-0.570875033083399,0.814672365410065,0.0833333333333333,1.375,0.454861111111111,1.36400546285422,0.822222222222222,2.15549804083408,21.2926829268293,0.311719214753123,21.0975609756098,0.242712671029149,0.689024390243902,2.24390243902439,5.42105263157895,11.2631578947368,3.96052631578947,0.644736842105263,2.69478146058427,5.8421052631579,0.463414634146342,0.764542936288089,0.393640350877193,1.06030701754386,0.226973684210526,2.42105263157895,5.42105263157895,11.2631578947368,3.96052631578947,0.644736842105263,5.8421052631579,0.393640350877193,1.06030701754386,0.226973684210526,0.591203540433066,0.759259259259259,0.720019884882227,4.610376776323,0.434201463602491,1.41226420915887,3.0,2.0,0.101623209641336,0.0677488064275572,6.15871769837527,22.0,9.0,16.7376561570494,0.219512195121951,3.61842659711976,0.261491055849091,16.0,5.02727406562523,0.808655528897586,3.97335465361703,1.58468712507698,2.85286117244233,2.8287250631641,1.85412129123267,0.169541939321832,115.0,114.965691986667,-7.0,1.06086955599244,-0.0608695646880907,,,,,,,,,6.15871769837527,9.0,20.0,,,,,,,,,,,,,,114.965691986667,115.0,4.71743191018436,1.66481615872698,1.48385788060448,1.30552311302178,0.0,
Data_MC/images/PE_RBCs_NPs_1-10_1_15hrs_2.tif,61,0.159192989931347,21.1201017361395,20.591260281974,3.36217214303028,48.8700576850888,1.14988371023738,43.0,0.472886096529393,198.0,66.0,0.217171717171717,0.987247482628706,7.39927702033192,0.651515151515152,107.0,119.0,542387.0,-3.20342650381492e-16,6.5,2.50303823573321,124.0,3.92752839372634,112.209302325581,111.0,105.0,19.0,3.1599707815924,112.310512254155,0.590201453265999,542387.0,1.0,22.7236343969713,0.0,1.0,1.0,0.0,-3.20342650381492e-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.20342650381492e-16,1.0,1.13449597545168,20.5813953488372,0.296376419686317,43.0,0.0,1.0,1.0,18.4545454545455,18.4545454545455,18.4545454545455,1.0,2.66353275480425,1.90909090909091,0.255813953488372,3.17355371900827,0.177537105751391,0.177537105751391,0.177537105751391,1.0,18.4545454545455,18.4545454545455,18.4545454545455,1.0,1.90909090909091,0.177537105751391,0.177537105751391,0.177537105751391,0.464516794190996,0.651515151515152,0.793176784134842,5.20120800086779,0.47841817337868,1.58430687987647,3.0,2.0,0.0879595107370218,0.0586396738246812,4.76693133965357,19.0,6.5,14.8480259599784,0.162790697674419,3.44804590490777,0.478248431953348,12.0,5.22675258122248,2.2331756220489,4.25469233163514,2.61828989997947,2.3745379452864,2.45516843054879,1.79819888238511,0.215792320173067,115.0,114.965691986667,4.0,0.965217382911153,0.0347826083931947,115.774193548387,119.0,14.0292544060027,0.932773101405268,8.0,0.0672268901913706,0.0347826085444234,0.570236963294364,4.76693133965357,6.5,14.7,40.5,25.5,0.339785056419598,0.254901950788159,0.362962954000915,0.319216653736224,,,,,,,,114.965691986667,115.0,4.71743191018436,-0.591571248081521,-0.847918788916847,1.0104926620922,-1.69583757783369,
Data_MC/images/PE_RBCs_NPs_1-10_1_15hrs_2.tif,64,0.157258545467756,24.9178627565264,24.4131112314674,3.91854685325652,53.3553390593273,1.11156956373599,49.0,0.460307092480603,300.0,85.0,0.163333333333333,0.98755746662023,7.89865416966859,0.576470588235294,111.0,128.4,701066.0,0.768281409097524,10.0,2.2347788230797,134.0,5.533527696793,119.428571428571,119.0,108.0,26.0,4.26174895895301,119.613834432958,0.280811311381949,701066.0,0.651811745106206,44.285714285714306,0.114285714285714,0.719999999999999,1.8,0.114285714285714,0.512709142030876,0.101224489795918,0.942857142857143,0.942857142857143,-0.428195737552744,0.722834340846022,0.114285714285714,1.28571428571429,0.490612244897959,1.35665658867893,0.719999999999999,2.01784329110626,22.2244897959184,0.358184089962516,31.9387755102041,0.174094127446897,0.831632653061225,1.6734693877551,9.27777777777778,16.4444444444444,7.48611111111111,0.875,2.63605608619582,3.88888888888889,0.36734693877551,1.86728395061728,0.329969135802469,0.373672839506173,0.319043209876543,1.5,9.27777777777778,16.4444444444444,7.48611111111111,0.875,3.88888888888889,0.329969135802469,0.373672839506173,0.319043209876543,0.401898984891071,0.576470588235294,0.798819094361856,5.59173366053299,0.480393599283372,1.67630225607555,3.0,2.0,0.0766437485383697,0.0510958323589131,6.65475125648692,26.0,10.0,17.5102040816327,0.244897959183673,3.6895906176747504,0.303598057226214,17.4,6.68429857357918,1.78108254147503,6.42545406758954,2.16194338708729,3.17428007101388,3.6792451851275505,1.25156556882361,0.382757184506456,115.0,114.965691986667,-4.0,1.03478259969754,-0.0347826083931947,118.514285714286,117.0,7.44262407093254,1.01709400840091,-2.0,-0.0170940169479143,-0.0084745762352772,-0.268722390411829,6.65475125648692,10.0,21.2,23.2,8.5,0.894140332619644,1.17647044982701,0.913793064060645,0.994801282169098,,,,,,,,114.965691986667,115.0,4.71743191018436,0.93876723058651,0.847918788916847,1.41067215648582,-0.847918788916847,
Data_MC/images/PE_RBCs_NPs_1-10_1_15hrs_2.tif,70,0.168003742211168,30.0432078777279,32.310988842807,5.04737135148634,71.0121933088197,0.776089544358686,93.0,0.477510089512819,390.0,133.0,0.238461538461538,0.985786357484746,10.8816946134492,0.699248120300752,110.0,123.0,1243650.0,0.205592508185082,8.0,2.08770970140206,128.0,4.36281651057926,115.52688172043,115.0,108.0,20.0,3.71126422047749,115.63987480606,0.448948404750115,1243650.0,0.937565036420396,26.1202451150422,0.0512820512820512,-0.0263157894736839,1.05128205128205,0.0512820512820512,0.291818256598885,0.0486522024983563,0.974358974358975,0.974358974358975,-0.005659196056145,0.0441054092176125,0.0512820512820512,1.02564102564103,0.90138067061144,0.343100307880936,0.0263157894736839,1.20825277824472,47.4086021505376,0.349173314834085,87.1935483870968,0.0312174817898022,0.975806451612903,1.09677419354839,38.4736842105263,38.9473684210526,38.3552631578947,0.881578947368421,2.90530777637374,3.31578947368421,0.204301075268817,14.5152354570637,0.327064193591022,0.800748404117338,0.208643140959443,1.47368421052632,38.4736842105263,38.9473684210526,38.3552631578947,0.881578947368421,3.31578947368421,0.327064193591022,0.800748404117338,0.208643140959443,0.323415154469351,0.699248120300752,0.646373100776431,6.23339644518801,0.483720595257632,1.59687524323066,3.0,2.0,0.049906260760821,0.033270840507214,5.11079691584808,20.0,8.0,14.3991212856978,0.182795698924731,3.36640235657361,0.332823275738019,13.0,4.57239215329006,1.11986777165208,3.43947848676064,1.80853371290769,3.2094450762949,1.69161793876343,1.86021388008802,0.184183142559833,115.0,114.965691986667,0.0,0.999999991304348,0.0,116.652173913043,113.0,7.48394627157633,1.01769910603806,-2.0,-0.0176991148876184,-0.008771929786088,-0.267238654606227,5.11079691584808,8.0,15.0,22.25,9.25,0.682901245878447,0.864864771365971,0.674157273071583,0.740641096772,,,,,,,,114.965691986667,115.0,4.71743191018436,0.11168822757238,0.0,1.08338518282147,-1.05989848614606,
Data_MC/images/PE_RBCs_NPs_1-10_1_15hrs_2.tif,71,0.224581375829809,10.8539456099879,10.816653826392,2.437594038273,21.556349186104,1.48664477145545,16.0,0.626200951402885,63.0,21.0,0.253968253968254,0.974455337935193,4.51351666838205,0.761904761904762,110.5,117.5,210964.0,-3.20342650381492e-16,2.25,6.11845571801371,119.0,2.75,114.75,116.0,102.0,17.0,1.16666666666667,114.827043852918,-1.98244122231291,210964.0,1.0,17.6875,0.0,1.0,1.0,0.0,-3.20342650381492e-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.20342650381492e-16,1.0,1.40563906222957,6.5,0.4375,16.0,0.0,1.0,1.0,8.66666666666667,8.66666666666667,8.66666666666667,1.0,1.58496250072116,2.0,0.375,1.55555555555556,0.391203703703704,0.391203703703704,0.391203703703704,1.0,8.66666666666667,8.66666666666667,8.66666666666667,1.0,2.0,0.391203703703704,0.391203703703704,0.391203703703704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
