image,cell_id,shape_Elongation,shape_MajorAxisLength,shape_MaximumDiameter,shape_MinorAxisLength,shape_Perimeter,shape_PerimeterSurfaceRatio,shape_PixelSurface,shape_Sphericity,shape_bbox_area,shape_convex_area,shape_extent,shape_eccentricity,shape_diameter,shape_solidity,bf_intensity_10Percentile,bf_intensity_90Percentile,bf_intensity_Energy,bf_intensity_Entropy,bf_intensity_InterquartileRange,bf_intensity_Kurtosis,bf_intensity_Maximum,bf_intensity_MeanAbsoluteDeviation,bf_intensity_Mean,bf_intensity_Median,bf_intensity_Minimum,bf_intensity_Range,bf_intensity_RobustMeanAbsoluteDeviation,bf_intensity_RootMeanSquared,bf_intensity_RootMeanSquared.1,bf_intensity_TotalEnergy,bf_intensity_Uniformity,bf_intensity_Variance,bf_glcm_Contrast,bf_glcm_Correlation,bf_glcm_Autocorrelation,bf_glcm_DifferenceAverage,bf_glcm_DifferenceEntropy,bf_glcm_DifferenceVariance,bf_glcm_Id,bf_glcm_Idm,bf_glcm_Imc1,bf_glcm_Imc12,bf_glcm_InverseVariance,bf_glcm_JointAverage,bf_glcm_JointEnergy,bf_glcm_JointEntropy,bf_glcm_MCC,bf_gldm_DependenceEntropy,bf_gldm_DependenceNonUniformity,bf_gldm_DependenceVariance,bf_gldm_GrayLevelNonUniformity,bf_gldm_GrayLevelVariance,bf_gldm_LowGrayLevelEmphasis,bf_gldm_HighGrayLevelEmphasis,bf_glrlm_LongRunEmphasis,bf_glrlm_LongRunHighGrayLevelEmphasis,bf_glrlm_LongRunLowGrayLevelEmphasis,bf_glrlm_LowGrayLevelRunEmphasis,bf_glrlm_RunEntropy,bf_glrlm_RunLengthNonUniformity,bf_glrlm_RunPercentage,bf_glrlm_RunVariance,bf_glrlm_ShortRunEmphasis,bf_glrlm_ShortRunHighGrayLevelEmphasis,bf_glrlm_ShortRunLowGrayLevelEmphasis,bf_glszm_HighGrayLevelZoneEmphasis,bf_glszm_LargeAreaEmphasis,bf_glszm_LargeAreaHighGrayLevelEmphasis,bf_glszm_LargeAreaLowGrayLevelEmphasis,bf_glszm_LowGrayLevelZoneEmphasis,bf_glszm_SizeZoneNonUniformity,bf_glszm_SmallAreaEmphasis,bf_glszm_SmallAreaHighGrayLevelEmphasis,bf_glszm_SmallAreaLowGrayLevelEmphasis,label,predicted_label
Data/images/Control5_3.png,2,0.937015072705419,46.7235453958508,48.1040538832228,43.7806662861481,153.882250993909,0.0959066693636078,1605.0,0.92275469202251,1978.0,1639.0,0.811425682507583,0.349288925565724,45.2056353710457,0.979255643685174,78.0,139.0,21697047.0,1.78003257090207,31.0,2.32193950159109,151.0,17.4958581535505,114.256074766355,119.0,65.0,86.0,13.1986491636451,116.268694607768,-0.648251985914995,21697047.0,0.319883153307907,463.958724779457,0.182284980744544,0.874718417133376,10.112323491656,0.182284980744544,0.685050298386536,0.149057166539505,0.908857509627728,0.908857509627728,-0.547654053556948,0.922628125469819,0.182284980744544,3.0783055198973,0.238043820374695,2.52655523270817,0.887825150883431,2.80926242299778,812.182554517134,0.329564348172087,513.41246105919,0.774439689055813,0.171801661474559,9.98878504672897,51.7371601208459,553.359516616314,6.18873447465592,0.273734474655925,4.73160618010526,50.7764350453172,0.206230529595016,28.2249158003304,0.304231149139469,1.86038324386544,0.116622351807402,7.93051359516616,51.7371601208459,553.359516616314,6.18873447465592,0.273734474655925,50.7764350453172,0.304231149139469,1.86038324386544,0.116622351807402,Healthy,Healthy
Data/images/Control5_3.png,4,0.959369442778267,45.4805208248945,47.7074417675063,43.6326219210444,156.568542494924,0.100849302734251,1553.0,0.892105522239629,1849.0,1593.0,0.839913466738778,0.282152923542035,44.4673027400326,0.97489014438167,78.0,134.0,19523042.0,1.7716457254889,31.0,2.26343352209866,153.0,16.870826006537,110.252414681262,116.0,65.0,88.0,12.795626952812,112.121272077541,-0.405953056970528,19523042.0,0.338341468996923,415.584709236926,0.181456953642384,0.865757831982822,9.14172185430464,0.181456953642384,0.683253964529665,0.14853032761721,0.909271523178808,0.909271523178808,-0.547569873196091,0.923224793738015,0.181456953642384,2.92516556291391,0.253862549888163,2.53694587481534,0.882671146821723,2.80138308248363,789.952994204765,0.329152930435204,525.444301352222,0.701797696252066,0.18172551334335,9.08306503541532,56.186119873817,523.659305993691,7.39717577988083,0.278902032947774,4.88198929815143,52.0536277602524,0.204121056020605,32.1853934261461,0.311324351620785,1.86105184970214,0.122948948917081,7.86750788643533,56.186119873817,523.659305993691,7.39717577988083,0.278902032947774,52.0536277602524,0.311324351620785,1.86105184970214,0.122948948917081,,Healthy
Data/images/Control5_3.png,5,0.877098922737882,50.4143694918543,52.4785670536077,44.218389171815,166.610173055267,0.095342016054516,1748.0,0.8894304809887,2160.0,1795.0,0.809259259259259,0.480309774762128,47.1765060617789,0.973816155988858,76.0,127.0,20724942.0,1.5905493381411,23.0,2.57405575359541,153.0,14.6614241054831,107.343249427918,112.0,66.0,87.0,10.6501501295907,108.886978752633,-0.574424290091409,20724942.0,0.413738617262488,333.800944132294,0.164997053624042,0.853877313035167,8.42604596346494,0.164997053624042,0.646131183332042,0.137773025919427,0.917501473187979,0.917501473187979,-0.547982777278699,0.90482592838972,0.164997053624042,2.81850324101355,0.342234849602873,2.26243198417233,0.876701400569168,2.5353268970445,928.37643020595,0.337121469976803,723.215102974828,0.587918719792218,0.197544336384439,8.36270022883295,86.8942598187311,777.546827794562,11.1157024169184,0.326195031889896,4.6802618597968,52.7583081570997,0.189359267734554,59.0056498206479,0.350535188076156,1.63037040463697,0.151563724299159,6.59516616314199,86.8942598187311,777.546827794562,11.1157024169184,0.326195031889896,52.7583081570997,0.350535188076156,1.63037040463697,0.151563724299159,,Healthy
Data/images/Control5_3.png,6,0.944350615864346,44.9329948522335,46.0108682813094,42.4325013613362,153.882250993909,0.103034650816143,1494.0,0.890264416039735,1845.0,1537.0,0.809756097560976,0.328940593902042,43.6144457701154,0.972023422251139,82.0,128.0,17994491.0,1.46106705408157,27.0,2.0597724619908,141.0,14.1849002435445,108.463855421687,113.0,73.0,68.0,11.4331977941388,109.747461723506,-0.406537637027922,17994491.0,0.396768690110733,280.097421815777,0.142363510711818,0.84455011201829,8.67173462335867,0.142363510711818,0.590395321140214,0.122096141529624,0.928818244644091,0.928818244644091,-0.547754149943696,0.893139156721312,0.142363510711818,2.87836903939185,0.304561208782654,2.11835586992718,0.858201297484249,2.43164532807882,826.459170013387,0.25744566843904,592.772423025435,0.461312003928252,0.147120890971293,8.6338688085676,75.1383399209486,640.818181818182,10.23998133509,0.153875713658322,4.66918076143894,30.8102766798419,0.169344042838019,40.2676811073443,0.186467602437344,1.61078254734568,0.0287260435830008,8.77075098814229,75.1383399209486,640.818181818182,10.23998133509,0.153875713658322,30.8102766798419,0.186467602437344,1.61078254734568,0.0287260435830008,,Healthy
Data/images/Control5_3.png,8,0.970203073790418,46.5606553061934,48.2700735445887,45.173290895765,158.225396744416,0.0960980241387284,1647.0,0.909095705530024,1978.0,1684.0,0.832659251769464,0.242293201736302,45.7932913228435,0.978028503562945,82.0,131.0,21093120.0,1.6008592232564,18.0,2.88705714210041,155.0,13.7117395098225,111.741347905282,114.0,64.0,91.0,9.45184948979592,113.167992539937,-0.566662826978039,21093120.0,0.396355316966065,320.865703829782,0.130162703379224,0.878916285013602,9.51752190237797,0.130162703379224,0.557884230880131,0.113220374028236,0.934918648310388,0.934918648310388,-0.596409012323063,0.92005498350839,0.130162703379224,3.00750938673342,0.324298129232254,2.20521233975191,0.90531206495444,2.53933486644171,953.394656952034,0.270546178973822,652.797207043109,0.556899280360716,0.155678000404776,9.42622950819672,102.626459143969,946.455252918288,14.0087808041505,0.181468871595331,5.14822653044802,28.3540856031128,0.156041287188828,61.5568138806038,0.251906099035898,2.01583336538533,0.0563199055997634,9.13618677042802,102.626459143969,946.455252918288,14.0087808041505,0.181468871595331,28.3540856031128,0.251906099035898,2.01583336538533,0.0563199055997634,,Healthy
Data/images/Control5_3.png,10,0.932128389603317,49.1264737056521,51.4003891035856,45.7921808221392,162.325901807805,0.0923618217967594,1758.0,0.915513546063518,2021.0,1798.0,0.869866402770906,0.362127968121111,47.3112578531201,0.977753058954394,87.0,126.0,21867829.0,1.23942155111975,10.0,3.34876459645836,142.0,9.75143371889403,110.721843003413,113.0,68.0,74.0,6.28526861810223,111.530435807856,-0.747239805603417,21867829.0,0.517584492668652,179.7115934179,0.115204678362573,0.815719200853598,9.00584795321637,0.115204678362573,0.515417938254646,0.101932560445949,0.942397660818714,0.942397660818714,-0.537929447643217,0.853246879158315,0.115204678362573,2.95818713450292,0.445658322218802,1.76947925122627,0.830983028106602,2.0921823484429,1071.55062571104,0.249956965783592,909.91353811149,0.325861557955118,0.134346163569713,8.94766780432309,143.918367346939,1281.53469387755,17.190873015873,0.167885487528345,4.83785581256836,29.1877551020408,0.139362912400455,92.4304206580592,0.251854995727647,1.76350338274049,0.0549465352893523,8.53877551020408,143.918367346939,1281.53469387755,17.190873015873,0.167885487528345,29.1877551020408,0.251854995727647,1.76350338274049,0.0549465352893523,,Healthy
Data/images/Control5_3.png,11,0.985103251628782,45.4100254552498,47.1274866717927,44.7335637325123,154.225396744416,0.096905684413708,1592.0,0.916964151479886,1935.0,1635.0,0.822739018087855,0.171963902114367,45.0221873659908,0.973700305810398,84.0,135.0,21677902.0,1.55538808565621,18.0,2.74634083808248,148.0,13.7493892199692,115.307788944724,118.0,71.0,77.0,9.16690185546875,116.690927723904,-0.790231031911274,21677902.0,0.36765880280801,320.8864217444,0.155339805825243,0.848136601700149,10.2718446601942,0.155339805825243,0.623043399621671,0.131209350551419,0.922330097087379,0.922330097087379,-0.539106724174361,0.89799773569759,0.155339805825243,3.13656957928803,0.281583561127345,2.22472594522023,0.857229955868924,2.54309097874197,858.197236180905,0.28708713163809,585.312814070352,0.537383841317139,0.130875732830821,10.1582914572864,67.0313588850174,684.02787456446,7.60256968641115,0.179297328687573,4.58356314993633,37.0278745644599,0.180276381909548,36.2617246779735,0.247098587127411,1.60005593838545,0.0671132609087689,8.74564459930314,67.0313588850174,684.02787456446,7.60256968641115,0.179297328687573,37.0278745644599,0.247098587127411,1.60005593838545,0.0671132609087689,Healthy,Healthy
Data/images/Control5_3.png,13,0.930621567832106,49.578296150558494,50.7740090991444,46.1386316940772,168.124891681028,0.0937935239503643,1793.0,0.892693755084423,2254.0,1847.0,0.79547471162378,0.365982919663904,47.7798964388805,0.970763400108284,77.0,140.0,24163793.0,1.86026228663252,35.0,2.18130213202095,157.0,18.5010393956295,113.909090909091,119.0,67.0,90.0,14.0710148577185,116.089357759191,-0.542701837440242,24163793.0,0.305345289934302,501.457993205902,0.19219736087206,0.884234506485657,10.1606425702811,0.19219736087206,0.706045603619698,0.155257535345875,0.90390131956397,0.90390131956397,-0.553781978025822,0.932270386146823,0.19219736087206,3.07028112449799,0.222675967372482,2.65531983509635,0.899113929564536,2.91631452598238,889.727272727273,0.332027414040286,547.484104852203,0.857103397391293,0.18037723864411,10.069157836029,49.1350649350649,536.955844155844,6.02944227994228,0.267908369408369,4.90752779155033,62.5428571428571,0.214723926380368,27.4460853432282,0.301913773133555,1.87417729266813,0.104722372625252,8.14025974025974,49.1350649350649,536.955844155844,6.02944227994228,0.267908369408369,62.5428571428571,0.301913773133555,1.87417729266813,0.104722372625252,,Healthy
Data/images/Control5_3.png,14,0.806318923106894,57.1501950525019,57.8705451849212,46.0812837300822,182.367532368148,0.0884635131545706,2062.0,0.88256983525672,2508.0,2119.0,0.822169059011164,0.591481017649543,51.2388518728114,0.973100519112789,92.0,130.0,27484625.0,1.28356030210315,11.0,3.49151177952489,142.0,9.25149605676972,114.722114451988,116.0,77.0,65.0,5.82605898910817,115.451765197826,-0.818456058859453,27484625.0,0.480998362122411,167.946542958773,0.116013882002975,0.826038656601993,4.6777392166584,0.116013882002975,0.517793298549558,0.102554661185575,0.941993058998513,0.941993058998513,-0.550419576281035,0.864582086090892,0.116013882002975,2.09816559246406,0.40625801166043,1.8123754899006,0.832386208447631,2.08907401588378,1251.62463627546,0.206110101875798,991.818622696411,0.350241448181072,0.325142795559866,4.65858389912706,140.150537634409,621.433691756272,35.978693747511,0.435284747112704,4.56890360361374,41.73835125448031,0.135305528612997,85.5283719376678,0.11810346385788,0.439974164629648,0.0617325572296088,4.46953405017921,140.150537634409,621.433691756272,35.978693747511,0.435284747112704,41.73835125448031,0.11810346385788,0.439974164629648,0.0617325572296088,,Crenated
Data/images/Control5_3.png,15,0.967051115831386,45.7349148412392,47.169905660283,44.2280004296738,156.811183182043,0.0989657199003113,1585.0,0.899858083009065,1978.0,1637.0,0.801314459049545,0.254582284083696,44.92309738214,0.968234575442883,83.0,132.0,19732260.0,1.54297982359932,27.0,2.25333841287267,148.0,14.4984593338574,110.193059936909,115.0,69.0,79.0,11.234590062022,111.576769062031,-0.317903695313901,19732260.0,0.375398302301745,306.864936062654,0.155396618985696,0.846454506473893,8.99479843953186,0.155396618985696,0.623182173219175,0.13124850979351,0.922301690507152,0.922301690507152,-0.541421863535836,0.899710517005734,0.155396618985696,2.92685305591677,0.281706732435856,2.23329754563682,0.862873314931705,2.53328172099733,853.905993690852,0.286167043158953,595.006309148265,0.514191205007513,0.148133543638276,8.9589905362776,62.0804195804196,544.902097902098,8.30827505827506,0.184367715617716,4.65427647020504,34.2447552447553,0.180441640378549,31.3671206415962,0.231180512096772,1.62751035749705,0.0683351854833982,8.57342657342657,62.0804195804196,544.902097902098,8.30827505827506,0.184367715617716,34.2447552447553,0.231180512096772,1.62751035749705,0.0683351854833982,,Healthy
