,precision,recall,f1-score,support
Crenated,0.9310344827586207,0.8181818181818182,0.8709677419354839,33.0
Dead,0.9629629629629629,1.0,0.9811320754716981,26.0
Healthy,0.8928571428571429,0.8064516129032258,0.8474576271186439,31.0
Stressed,0.6944444444444444,0.8333333333333334,0.7575757575757577,30.0
accuracy,0.8583333333333333,0.8583333333333333,0.8583333333333333,0.8583333333333333
macro avg,0.8703247582557927,0.8644916911045945,0.8642833005253959,120.0
weighted avg,0.8689423310831356,0.8583333333333333,0.8604152384507151,120.0
