num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Dead_balanced_accuracy,Dead_accuracy,Dead_f1,Dead_recall,Dead_precision,Stressed_balanced_accuracy,Stressed_accuracy,Stressed_f1,Stressed_recall,Stressed_precision,Healthy_balanced_accuracy,Healthy_accuracy,Healthy_f1,Healthy_recall,Healthy_precision,Crenated_balanced_accuracy,Crenated_accuracy,Crenated_f1,Crenated_recall,Crenated_precision
36,0.8061583577712611,0.8,0.8026209848292227,0.8061583577712611,0.8018267651888341,0.9893617021276595,1.0,0.962962962962963,1.0,0.9285714285714286,0.75,0.6,0.631578947368421,0.6,0.6666666666666666,0.8807538963392534,0.8064516129032258,0.8333333333333334,0.8064516129032258,0.8620689655172413,0.8573667711598747,0.8181818181818182,0.7826086956521738,0.8181818181818182,0.75
72,0.8462609970674487,0.8416666666666667,0.8441724941724942,0.8462609970674487,0.8446759259259259,1.0,1.0,1.0,1.0,1.0,0.7722222222222221,0.6333333333333333,0.6666666666666667,0.6333333333333333,0.7037037037037037,0.9122870605291773,0.9032258064516129,0.8484848484848486,0.9032258064516129,0.8,0.9012539184952978,0.8484848484848485,0.8615384615384615,0.8484848484848485,0.875
144,0.8404692082111437,0.8333333333333334,0.8390899405436987,0.8404692082111437,0.8415591931216931,0.9946808510638299,1.0,0.9811320754716981,1.0,0.9629629629629629,0.8055555555555556,0.7333333333333333,0.6984126984126984,0.7333333333333333,0.6666666666666666,0.9073939833272925,0.8709677419354839,0.8571428571428571,0.8709677419354839,0.84375,0.8615464994775339,0.7575757575757576,0.819672131147541,0.7575757575757576,0.8928571428571429
216,0.8654692082111437,0.8583333333333333,0.8662119729222739,0.8654692082111437,0.8754004004004003,1.0,1.0,1.0,1.0,1.0,0.8500000000000001,0.8333333333333334,0.746268656716418,0.8333333333333334,0.6756756756756757,0.9186299383834723,0.8709677419354839,0.8852459016393444,0.8709677419354839,0.9,0.8672936259143156,0.7575757575757576,0.8333333333333334,0.7575757575757576,0.9259259259259259
288,0.8563782991202346,0.85,0.8573481817590425,0.8563782991202346,0.8607843137254902,1.0,1.0,1.0,1.0,1.0,0.8222222222222222,0.7666666666666667,0.71875,0.7666666666666667,0.6764705882352942,0.9186299383834723,0.8709677419354839,0.8852459016393444,0.8709677419354839,0.9,0.8709508881922674,0.7878787878787878,0.8253968253968254,0.7878787878787878,0.8666666666666667
360,0.8644916911045945,0.8583333333333333,0.8642833005253959,0.8644916911045945,0.8703247582557927,0.9946808510638299,1.0,0.9811320754716981,1.0,0.9629629629629629,0.8555555555555556,0.8333333333333334,0.7575757575757577,0.8333333333333334,0.6944444444444444,0.8863718738673432,0.8064516129032258,0.8474576271186439,0.8064516129032258,0.8928571428571429,0.8975966562173459,0.8181818181818182,0.8709677419354839,0.8181818181818182,0.9310344827586207
