image,cell_id,prob_dead,borderline_ghost,stage1_prediction,final_prediction,morph_confidence,prob_Crenated,prob_Healthy,prob_Stressed,review_flag,review_reason
Data_for_model/images/Control1_15_hrs_PE_2.tif,64,0.9999990104176837,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,2,3.3149282052669093e-07,False,NotDead,Healthy,0.9833333333333333,0.0033333333333333335,0.9833333333333333,0.013333333333333334,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,3,6.312408314945728e-07,False,NotDead,Healthy,0.97,0.0033333333333333335,0.97,0.02666666666666667,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,6,1.099964882067539e-06,False,NotDead,Healthy,0.9966666666666667,0.0033333333333333335,0.9966666666666667,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,7,2.1626510448014002e-06,False,NotDead,Healthy,0.9966666666666667,0.0,0.9966666666666667,0.0033333333333333335,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,8,1.1799687885671872e-06,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,10,2.1103466294469797e-06,False,NotDead,Healthy,0.8766666666666667,0.016666666666666666,0.8766666666666667,0.10666666666666667,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,12,1.8766630249800187e-06,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,13,0.5830941898514838,True,NotDead,Healthy,0.9733333333333334,0.013333333333333334,0.9733333333333334,0.013333333333333334,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,14,1.958531488854831e-05,False,NotDead,Healthy,0.9866666666666667,0.0,0.9866666666666667,0.013333333333333334,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,15,6.791842653841584e-07,False,NotDead,Stressed,0.5166666666666667,0.02,0.4633333333333333,0.5166666666666667,True,uncertain_morphology; 
Data_for_model/images/Control1_15_hrs_PE_3.tif,16,1.9205878171169033e-06,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,17,3.548143518994351e-07,False,NotDead,Healthy,0.9566666666666667,0.006666666666666667,0.9566666666666667,0.03666666666666667,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,18,5.949531158955246e-06,False,NotDead,Healthy,0.9933333333333333,0.0,0.9933333333333333,0.006666666666666667,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,22,3.484320374447236e-07,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,24,3.3608884936420225e-05,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,27,2.342028224133763e-06,False,NotDead,Stressed,0.48333333333333334,0.13666666666666666,0.38,0.48333333333333334,True,uncertain_morphology; 
Data_for_model/images/Control1_15_hrs_PE_3.tif,30,0.9243093009907184,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,31,3.6280180881753665e-07,False,NotDead,Stressed,0.6833333333333333,0.14333333333333334,0.17333333333333334,0.6833333333333333,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,32,3.6643515402556837e-05,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,34,1.9606441942210395e-06,False,NotDead,Healthy,0.9966666666666667,0.0033333333333333335,0.9966666666666667,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,36,3.1984939863338724e-07,False,NotDead,Healthy,0.9966666666666667,0.0,0.9966666666666667,0.0033333333333333335,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,39,0.8643771094273912,False,Dead,Dead,,,,,True,uncertain_dead; 
Data_for_model/images/Control1_15_hrs_PE_3.tif,42,1.989777099864476e-06,False,NotDead,Healthy,0.9966666666666667,0.0,0.9966666666666667,0.0033333333333333335,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,44,1.6243616287603402e-06,False,NotDead,Healthy,0.9766666666666667,0.0,0.9766666666666667,0.023333333333333334,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,45,6.635365665808024e-07,False,NotDead,Healthy,0.8666666666666667,0.023333333333333334,0.8666666666666667,0.11,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,46,0.9421465638120932,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,48,7.968404976965715e-07,False,NotDead,Healthy,0.8933333333333333,0.013333333333333334,0.8933333333333333,0.09333333333333334,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,49,0.0005052098601167065,False,NotDead,Healthy,0.67,0.16333333333333333,0.67,0.16666666666666666,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,53,4.950582510598878e-07,False,NotDead,Stressed,0.42,0.3433333333333333,0.23666666666666666,0.42,True,uncertain_morphology; 
Data_for_model/images/Control1_15_hrs_PE_3.tif,55,8.857035254106194e-07,False,NotDead,Crenated,0.7633333333333333,0.7633333333333333,0.016666666666666666,0.22,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,56,1.8776618533333789e-06,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,60,0.9999990952126235,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,64,0.99999930453663,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,65,0.9999898686621944,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_3.tif,66,0.9999965547944296,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,4,0.9688884462347646,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,6,7.319817265649675e-07,False,NotDead,Healthy,0.8666666666666667,0.013333333333333334,0.8666666666666667,0.12,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,7,3.4215565491990674e-07,False,NotDead,Healthy,0.9033333333333333,0.01,0.9033333333333333,0.08666666666666667,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,8,0.0004142459103860796,False,NotDead,Healthy,0.9866666666666667,0.0033333333333333335,0.9866666666666667,0.01,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,11,1.7373755047955797e-06,False,NotDead,Healthy,0.99,0.006666666666666667,0.99,0.0033333333333333335,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,16,3.8816134650954126e-07,False,NotDead,Healthy,0.9933333333333333,0.0033333333333333335,0.9933333333333333,0.0033333333333333335,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,17,5.620269486472651e-07,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,18,0.00010739237092483034,False,NotDead,Healthy,0.9966666666666667,0.0,0.9966666666666667,0.0033333333333333335,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,19,6.07955034426233e-07,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,20,0.00012497837529268363,False,NotDead,Healthy,0.9933333333333333,0.0,0.9933333333333333,0.006666666666666667,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,22,6.405298945688642e-07,False,NotDead,Healthy,0.98,0.006666666666666667,0.98,0.013333333333333334,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,24,6.573721895719586e-07,False,NotDead,Healthy,0.9933333333333333,0.0,0.9933333333333333,0.006666666666666667,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,26,6.201217157553174e-07,False,NotDead,Healthy,0.95,0.0033333333333333335,0.95,0.04666666666666667,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,27,1.1829048354172755e-05,False,NotDead,Healthy,0.8833333333333333,0.013333333333333334,0.8833333333333333,0.10333333333333333,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,28,1.2473568822279901e-06,False,NotDead,Healthy,0.64,0.04666666666666667,0.64,0.31333333333333335,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,30,7.345607679898336e-07,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,32,7.787094888911383e-07,False,NotDead,Healthy,0.9633333333333334,0.0,0.9633333333333334,0.03666666666666667,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,35,1.682728387408794e-06,False,NotDead,Healthy,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.0,False,
