image,cell_id,shape_Elongation,shape_MajorAxisLength,shape_MaximumDiameter,shape_MinorAxisLength,shape_Perimeter,shape_PerimeterSurfaceRatio,shape_PixelSurface,shape_Sphericity,shape_bbox_area,shape_convex_area,shape_extent,shape_eccentricity,shape_diameter,shape_solidity,bf_intensity_10Percentile,bf_intensity_90Percentile,bf_intensity_Energy,bf_intensity_Entropy,bf_intensity_InterquartileRange,bf_intensity_Kurtosis,bf_intensity_Maximum,bf_intensity_MeanAbsoluteDeviation,bf_intensity_Mean,bf_intensity_Median,bf_intensity_Minimum,bf_intensity_Range,bf_intensity_RobustMeanAbsoluteDeviation,bf_intensity_RootMeanSquared,bf_intensity_RootMeanSquared.1,bf_intensity_TotalEnergy,bf_intensity_Uniformity,bf_intensity_Variance,bf_glcm_Contrast,bf_glcm_Correlation,bf_glcm_Autocorrelation,bf_glcm_DifferenceAverage,bf_glcm_DifferenceEntropy,bf_glcm_DifferenceVariance,bf_glcm_Id,bf_glcm_Idm,bf_glcm_Imc1,bf_glcm_Imc12,bf_glcm_InverseVariance,bf_glcm_JointAverage,bf_glcm_JointEnergy,bf_glcm_JointEntropy,bf_glcm_MCC,bf_gldm_DependenceEntropy,bf_gldm_DependenceNonUniformity,bf_gldm_DependenceVariance,bf_gldm_GrayLevelNonUniformity,bf_gldm_GrayLevelVariance,bf_gldm_LowGrayLevelEmphasis,bf_gldm_HighGrayLevelEmphasis,bf_glrlm_LongRunEmphasis,bf_glrlm_LongRunHighGrayLevelEmphasis,bf_glrlm_LongRunLowGrayLevelEmphasis,bf_glrlm_LowGrayLevelRunEmphasis,bf_glrlm_RunEntropy,bf_glrlm_RunLengthNonUniformity,bf_glrlm_RunPercentage,bf_glrlm_RunVariance,bf_glrlm_ShortRunEmphasis,bf_glrlm_ShortRunHighGrayLevelEmphasis,bf_glrlm_ShortRunLowGrayLevelEmphasis,bf_glszm_HighGrayLevelZoneEmphasis,bf_glszm_LargeAreaEmphasis,bf_glszm_LargeAreaHighGrayLevelEmphasis,bf_glszm_LargeAreaLowGrayLevelEmphasis,bf_glszm_LowGrayLevelZoneEmphasis,bf_glszm_SizeZoneNonUniformity,bf_glszm_SmallAreaEmphasis,bf_glszm_SmallAreaHighGrayLevelEmphasis,bf_glszm_SmallAreaLowGrayLevelEmphasis,crenation_circularity,crenation_solidity,crenation_perimeter_area_ratio,crenation_roughness_index,crenation_radial_variation,crenation_max_radial_deviation,crenation_num_spikes,crenation_num_indentations,crenation_spike_density,crenation_indentation_density,custom_texture_std,custom_texture_range,custom_texture_iqr,custom_texture_laplacian_var,custom_texture_edge_density,custom_texture_entropy_mean,custom_texture_entropy_std,custom_texture_local_contrast,texture_local_std_mean,texture_local_std_std,texture_sobel_mean,texture_sobel_std,texture_dog_abs_mean,texture_dog_std,texture_lbp_entropy,texture_lbp_uniformity,bg_median_intensity_y,bg_mean_intensity_y,cell_bg_abs_contrast_y,cell_bg_ratio_y,cell_bg_percent_difference_y,local_bg_mean,local_bg_median,local_bg_std,cell_to_local_bg_ratio,cell_local_bg_abs_diff,cell_local_bg_weber,cell_local_bg_michelson,cell_local_bg_z,cell_std,cell_iqr,cell_dynamic_range,local_bg_dynamic_range,local_bg_iqr,cell_std_to_bg_std,cell_iqr_to_bg_iqr,cell_dynamic_range_to_bg,cell_internal_contrast_score,radial_center_mean,radial_mid_mean,radial_edge_mean,radial_center_edge_ratio,radial_center_edge_diff,radial_edge_center_diff,radial_profile_range
Data_for_model/images/Control1_15_hrs_PE_2.tif,2,0.984252095267951,51.876231934430100,53.4883164812653,51.059289976069,174.367532368147,0.0839314235225739,2078.0,0.926637404186423,2600.0,2125.0,0.799230769230769,0.176770509306979,51.4372605604115,0.977882352941176,82.0,105.0,19998067.0,1.26978857101501,10.0,4.7311141783864,144.0,7.66805092258511,97.4913378248316,99.0,70.0,74.0,4.6855935535489,98.1005038451279,0.424331373151008,19998067.0,0.455838746999827,119.147903792515,0.158024691358025,0.75593220338983,6.40246913580247,0.158024691358025,0.629562977284967,0.133052888279226,0.920987654320988,0.920987654320988,-0.440791061268298,0.813085316857132,0.158024691358025,2.48148148148148,0.345939704313367,1.91380686771107,0.763643825553666,2.2974522255556,1141.09432146295,0.338877150143443,947.23291626564,0.3433358406182,0.193375040102663,6.61742059672762,66.1608579088472,452.093833780161,11.7412123920167,0.184353589514447,4.75638894681273,52.1742627345845,0.179499518768046,35.1243090944375,0.360564166641236,3.56339445641006,0.050827028548458,7.66219839142091,66.1608579088472,452.093833780161,11.7412123920167,0.184353589514447,52.1742627345845,0.360564166641236,3.56339445641006,0.050827028548458,0.887419824395436,0.977882352941176,0.0825500987696828,3.76305329230211,0.0461363267891112,0.42946040961909,8.0,7.0,0.0466365962947551,0.0408070217579107,8.28858920170112,42.0,11.0,25.5930460756738,0.216125419932811,2.92561210953521,0.964820558091185,21.0,6.03085264370343,6.00906170886975,4.44414972003281,5.55470939148278,3.79620390208345,5.52952210013134,2.04025372098414,0.153707008222469,106.0,106.61188731477,7.0,0.933962255339979,0.0660377352260591,110.014285714286,108.0,4.94756175776905,0.916666658179013,9.0,0.0833333325617284,0.0434782606595253,1.81907748130481,8.28858920170112,11.0,25.0,15.0,5.0,1.67528732984452,2.19999956000009,1.66666655555556,1.84731781513339,101.718309859155,100.073968705548,95.1540447504303,1.06898565433509,6.56426510872464,-6.56426510872464,6.56426510872464
Data_for_model/images/Control1_15_hrs_PE_2.tif,3,0.955771020622961,54.879637607678,56.7538544946508,52.4523672477087,180.994949366117,0.0801394506823631,2259.0,0.930783172930105,2915.0,2302.0,0.774957118353345,0.294111808904953,53.6306640976665,0.981320590790617,74.0,111.0,21726145.0,1.45379658990619,14.0,3.25781954751622,136.0,10.625691812456,97.0761398849048,100.0,57.0,79.0,7.19502081165453,98.0693329648558,-0.669145803809525,21726145.0,0.41499733200394,193.817133218148,0.230349840981372,0.759085692869324,6.35438437074057,0.230349840981372,0.778620656620572,0.177288791741229,0.884825079509314,0.884825079509314,-0.386729095324595,0.818261635968612,0.230349840981372,2.44775102226261,0.281880154016978,2.30960772900502,0.763916916274944,2.63789699941625,1036.24125719345,0.398738330824065,937.478972996901,0.48704145593613,0.248515198465398,6.57104913678619,35.4424778761062,268.130973451327,6.3863200589970500,0.298512782694199,4.60606466483254,100.706194690265,0.250110668437362,19.4566340355549,0.382739500433504,2.56812361337432,0.102412885222414,6.06725663716814,35.4424778761062,268.130973451327,6.3863200589970500,0.298512782694199,100.706194690265,0.382739500433504,2.56812361337432,0.102412885222414,0.8942807644507,0.981320590790617,0.0788696424264588,3.74859038860511,0.0455565388787285,0.446457920944331,5.0,4.0,0.0280636336001792,0.0224509068801434,13.3402158992216,72.0,16.0,45.117961131321,0.225050916496945,3.55752223231157,0.800317758886681,35.7,8.91852583206037,6.72774215044285,7.21178401932308,7.05422773930242,5.67755880282617,7.89041556523686,1.89136527884362,0.203639025887565,106.0,106.61188731477,6.0,0.94339621751513,0.0566037730509078,109.056976744186,108.0,5.45064623217251,0.925925917352538,8.0,0.074074073388203,0.0384615382766272,1.46771560499823,13.3402158992216,16.0,42.85,17.0,6.0,2.44745538116663,2.6666662222223,2.52058808702423,2.54490323013772,101.103448275862,102.377952755906,93.1438735177866,1.08545461308414,7.9595747580755,-7.9595747580755,9.23407923811895
Data_for_model/images/Control1_15_hrs_PE_2.tif,4,0.959081496049067,52.4028782254969,53.851648071345,50.2586308457866,172.610173055267,0.0835277875902573,2067.0,0.93359012395775,2600.0,2105.0,0.795,0.283130153703709,51.3009370184169,0.981947743467934,84.0,117.0,20261523.0,1.28973892751769,8.0,4.24517136784402,136.0,7.96256467834089,98.277213352685,98.0,70.0,66.0,4.30513125759204,99.0069781006723,0.808711357400375,20261523.0,0.482351388148688,143.971048257819,0.164846077457795,0.769423614209879,5.89622641509434,0.164846077457795,0.645777879220125,0.137671848204574,0.917576961271102,0.917576961271102,-0.437862540149176,0.81265185353347,0.164846077457795,2.37090367428004,0.387425558331008,1.92651994766378,0.769900295758607,2.27656703391801,1109.54088050314,0.339215852867029,997.020319303338,0.396651694129581,0.209425227113906,6.17803580067731,67.4987012987013,348.285714285714,15.1829906204906,0.173466810966811,4.71573416202526,57.4831168831169,0.186260280599903,38.6743531792883,0.356104539856631,3.8726548493456100,0.044116503448548,8.31948051948052,67.4987012987013,348.285714285714,15.1829906204906,0.173466810966811,57.4831168831169,0.356104539856631,3.8726548493456100,0.044116503448548,0.901090373512861,0.981947743467934,0.0821392094487277,3.73439933450584,0.047032798425859,0.43981236207977,5.0,4.0,0.0294495734661967,0.0235596587729574,7.56502264470697,49.0,9.0,25.9849338402782,0.225407532321529,2.99023651147975,0.967629086537338,18.0,6.4552255400746,6.2729071798931,5.25388009748466,6.69749298426373,3.57782948631704,5.12115858494273,2.04070161760793,0.158269246385521,106.0,106.61188731477,9.0,0.915094330989676,0.0849056595763617,107.075903614458,106.0,3.03438488879714,0.915094330989676,9.0,0.0849056595763617,0.0443349751510592,2.96600377467735,7.56502264470697,9.0,23.0,9.0,3.0,2.49309841330228,2.99999900000033,2.55555527160497,2.68288422830253,99.8651162790698,98.2557471264368,97.9948096885813,1.0190857615556,1.87030659048845,-1.87030659048845,1.87030659048845
Data_for_model/images/Control1_15_hrs_PE_2.tif,5,0.972408341873009,52.3454924706315,54.1294744108974,50.9011935378929,174.367532368147,0.0834494052970315,2090.0,0.929309759855154,2600.0,2133.0,0.803846153846154,0.233285268835786,51.5855662806612,0.979840600093765,84.0,106.0,20291839.0,1.03979755848657,9.75,3.88763507816861,132.0,6.7844394588036,98.1287081339713,101.0,73.0,59.0,4.47622571478755,98.5343284119706,-0.43278692232403,20291839.0,0.517210228703555,79.7705155559626,0.108001963672067,0.785276485154207,7.01325478645066,0.108001963672067,0.493859705040107,0.0963375395150443,0.945999018163967,0.945999018163967,-0.504799005420162,0.802765872588206,0.108001963672067,2.61070201276387,0.424365969861924,1.53140178300276,0.794516272128866,1.89732730743875,1336.25454545455,0.26955060552643,1080.96937799043,0.254974931892585,0.165879186602871,7.13492822966507,143.897435897436,1142.04395604396,20.282788970289,0.171805046805047,4.58145566207004,33.974358974359,0.130622009569378,85.2880355297938,0.337788223049326,3.19153030042397,0.0437272891995301,7.34798534798535,143.897435897436,1142.04395604396,20.282788970289,0.171805046805047,33.974358974359,0.337788223049326,3.19153030042397,0.0437272891995301,0.892544481706671,0.979840600093765,0.0820761269107181,3.75223471708639,0.0429399591258954,0.422806311621045,9.0,8.0,0.0524661708315995,0.0466365962947551,8.2470783437075,41.0,9.0,19.8385800685721,0.199666295884316,2.84213970674867,1.04835866095214,21.0,5.22300302374819,4.57341022228284,3.9451413746908,4.3554557377925,3.45967882746052,4.96245442027527,2.0251264611948,0.159596437024948,106.0,106.61188731477,5.0,0.952830179690281,0.0471698108757565,108.611834319527,108.0,4.9217163572827,0.935185176526063,7.0,0.0648148142146777,0.0334928228062544,1.42226777603189,8.2470783437075,9.0,26.0,14.8,4.0,1.67565053923794,2.24999943750014,1.75675663805699,1.89413553826502,101.699029126214,101.876901798064,95.161068044789,1.06870414705353,6.53796108142461,-6.53796108142461,6.71583375327465
Data_for_model/images/Control1_15_hrs_PE_2.tif,6,0.959850895507288,53.8311700778558,55.0272659687904,51.669896805435,178.509667991878,0.0818663921081762,2181.0,0.927302082838283,2808.0,2234.0,0.776709401709402,0.280510709945019,52.6966360128177,0.976275738585497,81.0,105.0,20607323.0,1.1792035511932,8.0,5.50320404811503,155.0,7.34579307221868,96.6148555708391,98.0,68.0,87.0,4.31646376564468,97.2037358027557,0.435067386191368,20607323.0,0.497104016787894,114.135937037829,0.162352941176471,0.724078997805992,5.77929411764706,0.162352941176471,0.639908939397461,0.13599446366782,0.918823529411765,0.918823529411765,-0.402478358057264,0.776523665541176,0.162352941176471,2.35929411764706,0.381514076124568,1.83336142542389,0.735294461735384,2.22346999138855,1179.47959651536,0.337958539434712,1084.1838606144,0.309234792330327,0.209749477813439,5.9610270518111,60.002493765586,318.381546134663,13.0469790800776,0.207394014962594,4.79429809325263,53.3840399002494,0.183860614397066,30.4208307162269,0.344187109072244,2.73083306888569,0.0688670835565355,6.93266832917706,60.002493765586,318.381546134663,13.0469790800776,0.207394014962594,53.3840399002494,0.344187109072244,2.73083306888569,0.0688670835565355,0.888003646243051,0.976275738585497,0.0805507752714956,3.7618160710627300,0.0493060387276883,0.446435978270853,6.0,5.0,0.0341527642358686,0.0284606368632238,8.49787262398188,53.0,8.0,30.8461110313128,0.198622881355932,3.0234459812149,0.93321182862115,22.0,6.14175819155358,5.91063094617491,4.33429038169696,5.01228067923857,3.9696579339459100,5.89966253808726,2.02261053930658,0.157874892272336,106.0,106.61188731477,8.0,0.924528293164827,0.0754716974012104,113.056300268097,110.0,10.2543808325205,0.890909082809917,12.0,0.109090908099174,0.0576923074149408,1.17023143822707,8.49787262398188,8.0,26.0,30.75,10.0,0.828706475219394,0.799999920000008,0.845528427787693,0.824744941002365,99.5934959349594,100.098782138024,93.8494983277592,1.06120433937681,5.74399760720016,-5.74399760720016,6.24928381026517
Data_for_model/images/Control1_15_hrs_PE_2.tif,7,0.985217069215214,52.7380230575845,53.9351462406472,51.9584005129978,175.438600180013,0.0815803767402989,2151.0,0.937021383682679,2703.0,2198.0,0.795782463928968,0.171310614169063,52.332955780515,0.978616924476797,83.0,107.0,21119471.0,1.24812958175584,9.0,4.70095825570964,139.0,7.44079029982055,98.5155741515574,101.0,70.0,69.0,4.49037655416354,99.0880570489921,0.182542874697254,21119471.0,0.46654762113175,113.124699333297,0.143538388173581,0.77800427639232,6.82021936099189,0.143538388173581,0.593431041804856,0.122935119294112,0.928230805913209,0.928230805913209,-0.471368806445896,0.827548051715647,0.143538388173581,2.56294706723891,0.360612920017219,1.87226166107031,0.779664729391514,2.23268225853657,1219.59507205951,0.296440672507852,1003.54393305439,0.332829529517263,0.182889741205641,6.99023709902371,94.312676056338,723.949295774648,14.4114436619718,0.195129107981221,4.62199901278891,46.7295774647887,0.165039516503952,57.5993175957151,0.305893879169033,2.74318080776236,0.052714419293616,7.38028169014085,94.312676056338,723.949295774648,14.4114436619718,0.195129107981221,46.7295774647887,0.305893879169033,2.74318080776236,0.052714419293616,0.907230199639568,0.978616924476797,0.0802464774780411,3.72174130811912,0.0430915500730175,0.413991383589645,9.0,8.0,0.0521406116493399,0.0463472103549688,8.63557302436429,55.0,10.0,22.900276332524,0.226344086021505,2.83285010244681,1.08172763578255,21.0,5.88043326606176,5.69909845576901,4.61534751370415,5.82099798974043,3.5811217162912,5.2273834262617,2.03360554629134,0.155380390796624,106.0,106.61188731477,6.0,0.94339621751513,0.0566037730509078,108.468164794007,108.0,4.54625804097063,0.925925917352538,8.0,0.074074073388203,0.0384615382766272,1.75968855445861,8.63557302436429,10.0,27.0,15.0,6.0,1.89948987652067,1.66666638888894,1.79999988000001,1.78871871513654,101.582959641256,101.103585657371,96.2748936170213,1.05513446724974,5.30806602423432,-5.30806602423432,5.30806602423432
Data_for_model/images/Control1_15_hrs_PE_2.tif,8,0.99628716247169,55.3454874743922,57.0087712549569,55.1399986714746,188.509667991878,0.0787590006233041,2394.0,0.920000406810814,3024.0,2451.0,0.791666666666667,0.0860923335385239,55.2099218446828,0.976744186046512,89.0,108.0,24042812.0,0.942043353402801,7.0,3.7757186832083500,122.0,5.5529348294155,99.9440267335004,101.0,75.0,47.0,3.74569468317308,100.214498439983,-0.714403931343153,24042812.0,0.539631590812174,54.1372178706304,0.117773019271949,0.745450163234976,2.85096359743041,0.117773019271949,0.522925417561177,0.103902535203518,0.941113490364026,0.941113490364026,-0.45485356806296,0.759522944661367,0.117773019271949,1.63661670235546,0.433425711521443,1.46086764181761,0.745450163234976,1.86730376916832,1464.52965747703,0.257981349921727,1291.87802840434,0.230184204593913,0.519423558897243,2.92230576441103,112.538922155689,374.526946107784,47.0419161676647,0.584580838323353,4.60806732039385,31.1437125748503,0.139515455304929,61.16350532468,0.25798355387175,0.801487296200299,0.122107618289612,2.66167664670659,112.538922155689,374.526946107784,47.0419161676647,0.584580838323353,31.1437125748503,0.25798355387175,0.801487296200299,0.122107618289612,0.87256532517066,0.976744186046512,0.077561086410665,3.7949491126674,0.0435970211633317,0.424780989883712,10.0,9.0,0.0538557366016081,0.0484701629414473,7.11216227845034,47.0,6.0,16.1716142158663,0.244829244829245,3.05556087976393,0.733609810321132,18.0,4.64947480379617,3.37989505624292,3.62332040354994,3.43132574133757,2.95502434179603,4.1667411097434,2.04184877891205,0.154547837568521,106.0,106.61188731477,5.0,0.952830179690281,0.0471698108757565,108.235555555556,108.0,3.47563938517828,0.935185176526063,7.0,0.0648148142146777,0.0334928228062544,2.01401733903519,7.11216227845034,6.0,23.0,12.0,4.0,2.04628830669014,1.49999962500009,1.91666650694446,1.82098481287823,100.963855421687,103.075376884422,97.9080800593032,1.03121064501849,3.05577536238356,-3.05577536238356,5.16729682511893
Data_for_model/images/Control1_15_hrs_PE_2.tif,9,0.978723286137087,50.5713704871634,52.0,49.4953779076526,169.781745930521,0.0864689309551925,1964.0,0.925186718270167,2450.0,2017.0,0.801632653061224,0.205184622165069,50.0064242458893,0.973723351512147,87.0,109.0,18841377.0,0.978852431539463,7.0,5.2177072002317,131.0,6.18023143673703,97.5025458248473,98.0,76.0,55.0,3.35049881220197,97.9457459239698,1.0243562939123,18841377.0,0.579400180852079,86.6227022764133,0.164225941422594,0.643681599126367,1.7902719665272,0.164225941422594,0.64432417176167,0.137255781586457,0.917887029288703,0.917887029288703,-0.315705163512698,0.66304363571143,0.164225941422594,1.28138075313808,0.475122984541587,1.54489617366708,0.643747992281305,1.92757326645931,1058.41547861507,0.349886552652428,1137.94195519348,0.25936796139057,0.782204684317719,1.97301425661914,79.672131147541,103.286885245902,73.9961293260474,0.52565270188221,4.37013149943793,59.2896174863388,0.186354378818737,50.8768849472961,0.381713991129143,1.74582469171629,0.131866407731665,3.3224043715847,79.672131147541,103.286885245902,73.9961293260474,0.52565270188221,59.2896174863388,0.381713991129143,1.74582469171629,0.131866407731665,0.885444274739827,0.973723351512147,0.0850067814693351,3.7672489016924100,0.0449060834391785,0.427387111977621,9.0,8.0,0.0539072841700751,0.0479175859289556,5.80853374540787,36.0,7.0,19.2978284438776,0.244047619047619,2.8115205618982,0.938322426111574,14.0,5.01072192138924,5.06234930923548,3.7907952566572100,4.9803854149683,3.01058058963318,4.2823525387455,2.07163410621184,0.147936507936508,106.0,106.61188731477,9.0,0.915094330989676,0.0849056595763617,107.909638554217,107.0,3.39528782099975,0.906542047602411,10.0,0.0934579430517949,0.0490196076028451,2.94525753984472,5.80853374540787,7.0,19.0,11.0,3.0,1.7107627809105,2.33333255555581,1.72727257024795,1.92378930223809,98.6923076923077,97.6175595238095,97.2029520295203,1.01532211333472,1.4893556627874,-1.4893556627874,1.4893556627874
Data_for_model/images/Control1_15_hrs_PE_2.tif,10,0.950339006182265,50.697432626779300,52.2015325445528,48.1797477385258,164.124891681028,0.0856825328535776,1916.0,0.945304135187555,2350.0,1954.0,0.81531914893617,0.311216601948715,49.3915677794558,0.980552712384852,80.0,109.0,18379921.0,1.22174053742928,11.0,3.28496564038929,139.0,8.38607419772404,97.3429018789144,100.0,69.0,70.0,5.55288124978482,97.9431500778979,-0.546619985230885,18379921.0,0.468525677625185,117.220100973671,0.127545551982851,0.80755734393186,6.64147909967846,0.127545551982851,0.550668221520171,0.111277684152241,0.936227224008574,0.936227224008574,-0.51198383111934,0.842916322539293,0.127545551982851,2.52465166130761,0.376328994392807,1.80140997424527,0.812682007942419,2.1274576470655,1123.18162839248,0.25200378310764,897.695198329854,0.333113959580023,0.200055091626073,6.68267223382046,76.0208333333333,563.034722222222,12.5114776234568,0.260392554012346,4.89986898357033,25.0694444444444,0.150313152400835,31.7613811728395,0.201952987551403,1.26688601512854,0.0608336626537974,5.83680555555556,76.0208333333333,563.034722222222,12.5114776234568,0.260392554012346,25.0694444444444,0.201952987551403,1.26688601512854,0.0608336626537974,0.925455780257982,0.980552712384852,0.0841839585366814,3.68491178786132,0.0487293376040718,0.433734536181807,6.0,5.0,0.0371985834686811,0.0309988195572342,9.8342939211427,48.0,8.0,21.4223494199881,0.188414634146341,3.05800012049222,0.939860693807274,25.1,5.95589006053877,4.88503145344348,4.46383321359084,4.71831063372954,3.7776572241384,5.58738953922658,2.01389622462631,0.167308893515764,106.0,106.61188731477,5.0,0.952830179690281,0.0471698108757565,114.916237113402,113.0,13.8464310882596,0.893805301824732,12.0,0.106194689325711,0.0560747660931086,0.86664925112187,9.8342939211427,8.0,36.0,52.5,14.0,0.71024028850589,0.571428530612248,0.685714272653062,0.655794363923733,99.6831683168317,102.466463414634,93.7192816635161,1.06363563061753,5.96388665331561,-5.96388665331561,8.74718175111808
Data_for_model/images/Control1_15_hrs_PE_2.tif,11,0.978126853804144,49.436432213175,51.2640224719052,48.3551019039748,166.468037431536,0.0888540365260398,1874.0,0.921724053890927,2303.0,1917.0,0.813721233174121,0.208009273512517,48.8472200522578,0.977569118414189,84.0,109.0,18745124.0,1.01824217688496,10.0,3.39228506435978,130.0,7.50447453156091,99.5346851654216,102.0,69.0,61.0,4.84012850549957,100.013670356962,-0.684424324628593,18745124.0,0.547309187454227,95.5807072914875,0.0860745614035087,0.826090705896177,7.35800438596491,0.0860745614035087,0.423229678629466,0.0786657312827023,0.956962719298246,0.956962719298246,-0.569411017649494,0.825323799259789,0.0860745614035087,2.67461622807018,0.479432223135965,1.43591762167997,0.827258627357687,1.77473662747735,1253.78228388474,0.206264685882987,1025.65741728922,0.251087737721947,0.163338965967034,7.37833511205977,185.004830917874,1547.8115942029,24.0870907139023,0.201187600644122,4.82419874186663,16.7391304347826,0.110458911419424,103.045485308875,0.199363066126917,1.57839967546439,0.0318339024035745,6.46376811594203,185.004830917874,1547.8115942029,24.0870907139023,0.201187600644122,16.7391304347826,0.199363066126917,1.57839967546439,0.0318339024035745,0.879432633994116,0.977569118414189,0.0873210300463123,3.78010308435709,0.048586261353502,0.433427096101672,9.0,8.0,0.0549989087796465,0.0488879189152413,8.93292069684122,52.0,6.0,17.270897717351,0.238095238095238,3.02231220404578,0.893014928104126,23.5,5.56607780568969,4.72226464458894,4.41240730125582,4.8211268003307,3.36717474231794,4.99649906979367,2.01060130421904,0.168622527496687,106.0,106.61188731477,3.0,0.971698104040584,0.0283018865254539,111.508196721311,110.0,6.68421157579952,0.93636362785124,7.0,0.0636363630578513,0.0328638496109678,1.04724377338683,8.93292069684122,6.0,31.0,23.0,7.0,1.33642079684647,0.857142734693895,1.34782602835539,1.18046318663192,102.739795918367,103.435816164818,96.5835721107927,1.06373985357233,6.15622380757461,-6.15622380757461,6.85224405402501
