num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Dead_balanced_accuracy,Dead_accuracy,Dead_f1,Dead_recall,Dead_precision,Crenated_balanced_accuracy,Crenated_accuracy,Crenated_f1,Crenated_recall,Crenated_precision,Healthy_balanced_accuracy,Healthy_accuracy,Healthy_f1,Healthy_recall,Healthy_precision
31,0.8399470899470899,0.839622641509434,0.8380193653532739,0.8399470899470899,0.8529289139045236,0.9577464788732395,1.0,0.9210526315789475,1.0,0.8536585365853658,0.8501006036217305,0.7142857142857143,0.819672131147541,0.7142857142857143,0.9615384615384616,0.8313492063492063,0.8055555555555556,0.7733333333333334,0.8055555555555556,0.7435897435897436
63,0.8312169312169312,0.8301886792452831,0.8273868751480692,0.8312169312169312,0.8278186274509803,0.9647887323943662,1.0,0.9333333333333333,1.0,0.875,0.8505030181086519,0.7714285714285715,0.8059701492537314,0.7714285714285715,0.84375,0.803968253968254,0.7222222222222222,0.7428571428571428,0.7222222222222222,0.7647058823529411
127,0.8404761904761905,0.839622641509434,0.8374617475432894,0.8404761904761905,0.8416957026713124,0.9577464788732395,1.0,0.9210526315789475,1.0,0.8536585365853658,0.8645875251509054,0.7714285714285715,0.8307692307692307,0.7714285714285715,0.9,0.8178571428571428,0.75,0.7605633802816902,0.75,0.7714285714285715
190,0.8693121693121694,0.8679245283018868,0.8648171859439464,0.8693121693121694,0.8675925925925926,0.9647887323943662,1.0,0.9333333333333333,1.0,0.875,0.9076458752515091,0.8857142857142857,0.8732394366197184,0.8857142857142857,0.8611111111111112,0.8325396825396825,0.7222222222222222,0.7878787878787877,0.7222222222222222,0.8666666666666667
254,0.8785714285714286,0.8773584905660378,0.875432506292292,0.8785714285714286,0.8772171675397482,0.9505030181086519,0.9714285714285714,0.9189189189189189,0.9714285714285714,0.8717948717948718,0.9289738430583501,0.9142857142857143,0.9014084507042254,0.9142857142857143,0.8888888888888888,0.8464285714285714,0.75,0.8059701492537312,0.75,0.8709677419354839
318,0.8785714285714286,0.8773584905660378,0.875432506292292,0.8785714285714286,0.8772171675397482,0.9505030181086519,0.9714285714285714,0.9189189189189189,0.9714285714285714,0.8717948717948718,0.9289738430583501,0.9142857142857143,0.9014084507042254,0.9142857142857143,0.8888888888888888,0.8464285714285714,0.75,0.8059701492537312,0.75,0.8709677419354839
