,precision,recall,f1-score,support
Crenated,0.8888888888888888,0.9142857142857143,0.9014084507042254,35.0
Dead,0.8717948717948718,0.9714285714285714,0.9189189189189189,35.0
Healthy,0.8709677419354839,0.75,0.8059701492537312,36.0
accuracy,0.8773584905660378,0.8773584905660378,0.8773584905660378,0.8773584905660378
macro avg,0.8772171675397482,0.8785714285714286,0.875432506292292,106.0
weighted avg,0.877158210694425,0.8773584905660378,0.874777201037211,106.0
