num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Dead_balanced_accuracy,Dead_accuracy,Dead_f1,Dead_recall,Dead_precision,Crenated_balanced_accuracy,Crenated_accuracy,Crenated_f1,Crenated_recall,Crenated_precision,Healthy_balanced_accuracy,Healthy_accuracy,Healthy_f1,Healthy_recall,Healthy_precision
31,0.8788359788359789,0.8773584905660378,0.8740740740740741,0.8788359788359789,0.8788055296675986,0.9647887323943662,1.0,0.9333333333333333,1.0,0.875,0.9219315895372233,0.9142857142857143,0.888888888888889,0.9142857142857143,0.8648648648648649,0.8396825396825397,0.7222222222222222,0.7999999999999999,0.7222222222222222,0.896551724137931
63,0.8502645502645504,0.8490566037735849,0.8464077522901053,0.8502645502645504,0.8461691086691087,0.971830985915493,1.0,0.945945945945946,1.0,0.8974358974358975,0.8720321931589538,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8182539682539682,0.7222222222222222,0.7647058823529411,0.7222222222222222,0.8125
127,0.8687830687830688,0.8679245283018868,0.8662957074721781,0.8687830687830688,0.8665843959961608,0.971830985915493,1.0,0.945945945945946,1.0,0.8974358974358975,0.8861167002012073,0.8285714285714286,0.8529411764705883,0.8285714285714286,0.8787878787878788,0.846031746031746,0.7777777777777778,0.7999999999999999,0.7777777777777778,0.8235294117647058
190,0.8785714285714286,0.8773584905660378,0.8750518439397986,0.8785714285714286,0.8765049168274975,0.971830985915493,1.0,0.945945945945946,1.0,0.8974358974358975,0.9076458752515091,0.8857142857142857,0.8732394366197184,0.8857142857142857,0.8611111111111112,0.8464285714285714,0.75,0.8059701492537312,0.75,0.8709677419354839
254,0.888095238095238,0.8867924528301887,0.8843388843388844,0.888095238095238,0.8874335874335874,0.971830985915493,1.0,0.945945945945946,1.0,0.8974358974358975,0.9219315895372233,0.9142857142857143,0.888888888888889,0.9142857142857143,0.8648648648648649,0.8535714285714286,0.75,0.8181818181818182,0.75,0.9
318,0.8507936507936508,0.8490566037735849,0.8449467275494672,0.8507936507936508,0.8506265664160401,0.9575452716297786,0.9714285714285714,0.9315068493150684,0.9714285714285714,0.8947368421052632,0.9008048289738431,0.9142857142857143,0.8533333333333333,0.9142857142857143,0.8,0.8047619047619048,0.6666666666666666,0.75,0.6666666666666666,0.8571428571428571
