,precision,recall,f1-score,support
Crenated,0.8,0.9142857142857143,0.8533333333333333,35.0
Dead,0.8947368421052632,0.9714285714285714,0.9315068493150684,35.0
Healthy,0.8571428571428571,0.6666666666666666,0.75,36.0
accuracy,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849
macro avg,0.8506265664160401,0.8507936507936508,0.8449467275494672,106.0
weighted avg,0.8506880408568591,0.8490566037735849,0.8440510037046609,106.0
