,precision,recall,f1-score,support
Crenated,0.5172413793103449,0.9375,0.6666666666666667,16.0
Dead,1.0,1.0,1.0,31.0
Healthy,0.825,0.8461538461538461,0.8354430379746836,39.0
Stressed,0.8333333333333334,0.6,0.6976744186046512,50.0
accuracy,0.8014705882352942,0.8014705882352942,0.8014705882352942,0.8014705882352942
macro avg,0.7938936781609195,0.8459134615384616,0.7999460308115004,136.0
weighted avg,0.8317465348208248,0.8014705882352942,0.8024460741022933,136.0
