num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Crenated_balanced_accuracy,Crenated_accuracy,Crenated_f1,Crenated_recall,Crenated_precision,Dead_balanced_accuracy,Dead_accuracy,Dead_f1,Dead_recall,Dead_precision,Stressed_balanced_accuracy,Stressed_accuracy,Stressed_f1,Stressed_recall,Stressed_precision,Healthy_balanced_accuracy,Healthy_accuracy,Healthy_f1,Healthy_recall,Healthy_precision
40,0.672724358974359,0.5955882352941176,0.596223373305061,0.672724358974359,0.5935357575982576,0.8416666666666667,0.875,0.5283018867924528,0.875,0.3783783783783784,0.9619047619047619,1.0,0.8857142857142858,1.0,0.7948717948717948,0.6144186046511628,0.38,0.46341463414634143,0.38,0.59375,0.6612476870208829,0.4358974358974359,0.5074626865671643,0.4358974358974359,0.6071428571428571
81,0.5816790736145575,0.4411764705882353,0.4296886778230062,0.5816790736145575,0.46240845735884717,0.7208333333333333,1.0,0.32323232323232326,1.0,0.1927710843373494,0.9552995391705069,0.967741935483871,0.8955223880597015,0.967741935483871,0.8333333333333334,0.5,0.0,0.0,0.0,0.0,0.6640232619614063,0.358974358974359,0.5,0.358974358974359,0.8235294117647058
162,0.47270471464019853,0.4852941176470588,0.3558441558441558,0.47270471464019853,0.3033946251768034,0.5,0.0,0.0,0.0,0.0,0.9600614439324117,0.967741935483871,0.909090909090909,0.967741935483871,0.8571428571428571,0.5,0.0,0.0,0.0,0.0,0.626486915146709,0.9230769230769231,0.5142857142857142,0.9230769230769231,0.3564356435643564
243,0.7524963813068652,0.7205882352941176,0.7195972361982064,0.7524963813068652,0.71407686332053,0.8520833333333333,0.8125,0.6190476190476191,0.8125,0.5,0.9648233486943165,0.967741935483871,0.923076923076923,0.967741935483871,0.8823529411764706,0.7327906976744186,0.64,0.6597938144329897,0.64,0.6808510638297872,0.7639439598202484,0.5897435897435898,0.676470588235294,0.5897435897435898,0.7931034482758621
324,0.7940064102564103,0.7573529411764706,0.7595554892803643,0.7940064102564103,0.7509531590413944,0.8833333333333333,0.875,0.6511627906976744,0.875,0.5185185185185185,1.0,1.0,1.0,1.0,1.0,0.7660465116279069,0.66,0.702127659574468,0.66,0.75,0.774121067935501,0.6410256410256411,0.6849315068493151,0.6410256410256411,0.7352941176470589
406,0.8459134615384616,0.8014705882352942,0.7999460308115004,0.8459134615384616,0.7938936781609195,0.9104166666666667,0.9375,0.6666666666666667,0.9375,0.5172413793103449,1.0,1.0,1.0,1.0,1.0,0.7651162790697674,0.6,0.6976744186046512,0.6,0.8333333333333334,0.8869944488501189,0.8461538461538461,0.8354430379746836,0.8461538461538461,0.825
