,precision,recall,f1-score,support
Crenated,0.7560975609756098,0.8857142857142857,0.8157894736842105,35.0
Dead,0.8947368421052632,0.9714285714285714,0.9315068493150684,35.0
Healthy,0.8148148148148148,0.6111111111111112,0.6984126984126984,36.0
accuracy,0.8207547169811321,0.8207547169811321,0.8207547169811321,0.8207547169811321
macro avg,0.8218830726318959,0.8227513227513228,0.815236340470659,106.0
weighted avg,0.8218163909543762,0.8207547169811321,0.8141342306399236,106.0
