num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Dead_balanced_accuracy,Dead_accuracy,Dead_f1,Dead_recall,Dead_precision,Crenated_balanced_accuracy,Crenated_accuracy,Crenated_f1,Crenated_recall,Crenated_precision,Healthy_balanced_accuracy,Healthy_accuracy,Healthy_f1,Healthy_recall,Healthy_precision
31,0.6571428571428571,0.6509433962264151,0.5332453245324532,0.6571428571428571,0.4601010101010101,0.9434607645875251,0.9714285714285714,0.9066666666666667,0.9714285714285714,0.85,0.7816901408450705,1.0,0.693069306930693,1.0,0.5303030303030303,0.5,0.0,0.0,0.0,0.0
63,0.8322751322751323,0.8301886792452831,0.8232258064516129,0.8322751322751323,0.8320512820512821,0.9647887323943662,1.0,0.9333333333333333,1.0,0.875,0.879476861167002,0.8857142857142857,0.8266666666666667,0.8857142857142857,0.775,0.776984126984127,0.6111111111111112,0.7096774193548387,0.6111111111111112,0.8461538461538461
127,0.7764550264550265,0.7735849056603774,0.7602807485848421,0.7764550264550265,0.7850772415989807,0.9505030181086519,0.9714285714285714,0.9189189189189189,0.9714285714285714,0.8717948717948718,0.8372233400402413,0.8857142857142857,0.7654320987654321,0.8857142857142857,0.6739130434782609,0.7075396825396825,0.4722222222222222,0.5964912280701755,0.4722222222222222,0.8095238095238095
190,0.8132275132275133,0.8113207547169812,0.8057432432432433,0.8132275132275133,0.8089133089133088,0.9505030181086519,0.9714285714285714,0.9189189189189189,0.9714285714285714,0.8717948717948718,0.8651911468812876,0.8571428571428571,0.8108108108108107,0.8571428571428571,0.7692307692307693,0.7626984126984127,0.6111111111111112,0.6875000000000001,0.6111111111111112,0.7857142857142857
254,0.832010582010582,0.8301886792452831,0.8249105783866058,0.832010582010582,0.8290726817042606,0.9434607645875251,0.9714285714285714,0.9066666666666667,0.9714285714285714,0.85,0.8935613682092556,0.8857142857142857,0.8493150684931505,0.8857142857142857,0.8157894736842105,0.7837301587301587,0.6388888888888888,0.7187499999999999,0.6388888888888888,0.8214285714285714
318,0.8227513227513228,0.8207547169811321,0.815236340470659,0.8227513227513228,0.8218830726318959,0.9575452716297786,0.9714285714285714,0.9315068493150684,0.9714285714285714,0.8947368421052632,0.8724346076458752,0.8857142857142857,0.8157894736842105,0.8857142857142857,0.7560975609756098,0.7698412698412699,0.6111111111111112,0.6984126984126984,0.6111111111111112,0.8148148148148148
